Domain,Buy Now Price,Floor Price,Min Offer,Lease to Own,Max Lease Period,Sale Lander,Show Buy Now Option,Show Lease to Own Option,Show Make Offer Option,Hidden,TLD,Date Added (UTC),Listing Status,Fast Transfer,Views,Leads,30-day Unique Searches,90-day Unique Searches,365-day Unique Searches,30-day Total Searches,90-day Total Searches,365-day Total Searches,GoDaddy NS
00.org.uk,0,0,50000,N,-,Custom Lander,N,N,Y,N,org.uk,Sat Oct 26 2024,Listed,TLD Not Eligible,-,-,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Y
2v.uk,0,0,50000,N,-,Custom Lander,N,N,Y,N,uk,Sat Oct 26 2024,Listed,TLD Not Eligible,-,-,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Members-only feature,N
2w.uk,0,0,50000,N,-,Custom Lander,N,N,Y,N,uk,Sat Oct 26 2024,Listed,TLD Not Eligible,1,-,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Y
3dhomesales.co.uk,0,0,10000,N,-,Custom Lander,N,N,Y,N,co.uk,Sat Oct 26 2024,Listed,TLD Not Eligible,-,-,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Y
3dviewers.co.uk,0,0,50000,N,-,Custom Lander,N,N,Y,N,co.uk,Sat Oct 26 2024,Listed,TLD Not Eligible,-,-,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Y
4l.uk,0,0,20000,N,-,Custom Lander,N,N,Y,N,uk,Sat Oct 26 2024,Listed,TLD Not Eligible,-,-,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Y
8qzq.com,0,0,50000,N,-,Custom Lander,N,N,Y,N,com,Sat Oct 26 2024,Listed,Pending Review,-,-,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Y
aadaishu.com,4999,4300,2500,N,-,Request Price,Y,Y,N,N,com,Tue Dec 09 2025,Listed,Opt-in Required,-,-,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Y
aakn.com,0,0,10000,N,-,Request Price,N,N,Y,N,com,Wed Dec 10 2025,Listed,Pending Review,15,-,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Y
accountancysites.com,0,0,10000,N,-,Request Price,Y,Y,N,N,com,Mon May 04 2026,Listed,Pending Review,-,-,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Y
acousticcameras.com,0,0,50000,N,-,Custom Lander,N,N,Y,N,com,Sat Oct 26 2024,Listed,Pending Review,-,-,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Y
actuariel.com,0,0,12000,N,-,Request Price,Y,Y,N,N,com,Tue Dec 09 2025,Listed,Pending Review,-,-,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Y
adapting.uk,0,0,10000,N,-,Custom Lander,N,N,Y,N,uk,Sat Oct 26 2024,Listed,TLD Not Eligible,-,-,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Y
adcentre.org,0,0,30000,N,-,Custom Lander,N,N,Y,N,org,Sat Oct 26 2024,Listed,Pending Review,-,-,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Y
adjustablewalkingstick.com,0,0,10000,N,-,Request Price,Y,Y,N,N,com,Tue Dec 09 2025,Listed,Pending Review,-,-,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Members-only feature,Y
