domain,registrar,category,subcategory,method
8qzq.com,porkbun,brandable-short,4-char,length
aadaishu.com,dynadot,uncategorised,,none
aakn.com,porkbun,brandable-short,4-char,length
accountancysites.com,dynadot,business-services,accounting,stem
acoustic-enclosures.com,porkbun,uncategorised,,none
acousticcameras.com,porkbun,uncategorised,,none
actuariel.com,dynadot,uncategorised,,none
adcentre.org,porkbun,uncategorised,,none
adjustablewalkingstick.com,porkbun,uncategorised,,none
adjustablewalkingsticks.com,porkbun,uncategorised,,none
aeroplanespares.com,porkbun,uncategorised,,none
afficheurs.com,porkbun,uncategorised,,none
affreteur.com,porkbun,uncategorised,,none
agenciaviaje.com,porkbun,uncategorised,,none
agent-chassis.com,porkbun,ai-tech,ai,token
agent-coordinator.com,porkbun,ai-tech,ai,token
agent-discovery.com,porkbun,ai-tech,ai,token
agentandhuman.com,porkbun,ai-tech,ai,stem
agentplushuman.com,porkbun,ai-tech,ai,stem
aggeggi.com,porkbun,uncategorised,,none
agricultureseeds.com,dynadot,uncategorised,,none
ai-agent-orchestration.com,porkbun,ai-tech,ai,token
ai-as-judge.com,porkbun,ai-tech,ai,token
ai-business-audit.com,spaceship,ai-tech,ai,token
ai-business-audits.com,porkbun,ai-tech,ai,token
ai-debugging.com,porkbun,ai-tech,ai,token
ai-product-strategy.com,porkbun,ai-tech,ai,token
ai-prototyping.com,spaceship,ai-tech,ai,token
ai-site-maintenance.com,porkbun,ai-tech,ai,token
ai-web-maintenance.com,porkbun,ai-tech,ai,token
ai-website-maintenance.com,porkbun,ai-tech,ai,token
aiasjudge.com,porkbun,uncategorised,,none
aicorporateaudit.com,spaceship,business-services,general,stem
aicorporateaudits.com,spaceship,business-services,general,stem
aimakefile.com,porkbun,uncategorised,,none
air-frier.com,spaceship,consumer-products,appliances,token
air-friers.com,spaceship,consumer-products,appliances,token
aircraft-docking.com,porkbun,uncategorised,,none
aircraft-part.com,porkbun,uncategorised,,none
airleakagetests.com,porkbun,uncategorised,,none
airportcollections.com,porkbun,travel,general,stem
aisitemaintenance.com,porkbun,home-garden,services,stem
aiwebmaintenance.com,porkbun,home-garden,services,stem
aiwebsitemaintenance.com,porkbun,home-garden,services,stem
aktiivinen.com,porkbun,uncategorised,,none
al-jebr.com,porkbun,uncategorised,,none
all-in-ones.com,spaceship,uncategorised,,none
allesreiniger.com,porkbun,uncategorised,,none
alquilados.com,dynadot,uncategorised,,none
alquilermarbella.com,dynadot,uncategorised,,none
altergasthof.com,porkbun,uncategorised,,none
aluminium-door.com,porkbun,home-garden,windows-doors,token
aluminium-gates.com,porkbun,home-garden,windows-doors,token
aluminium-window.com,spaceship,home-garden,windows-doors,token
aluminiumcanes.com,porkbun,home-garden,windows-doors,stem
aluminiumdeuren.com,porkbun,home-garden,windows-doors,stem
aluminiumpergolas.com,spaceship,home-garden,windows-doors,stem
aluminiumwalkingsticks.com,porkbun,home-garden,windows-doors,stem
aluminum-boats.com,dynadot,home-garden,windows-doors,token
aluminum-extrusion.com,spaceship,home-garden,windows-doors,token
aluminum-windows.com,dynadot,home-garden,windows-doors,token
aluminumcanes.com,dynadot,home-garden,windows-doors,stem
amantini.com,porkbun,uncategorised,,none
analyticscentral.com,dynadot,uncategorised,,none
anatinae.com,porkbun,uncategorised,,none
animalcleaner.com,dynadot,home-garden,services,stem
ankeren.com,porkbun,uncategorised,,none
anthonyappleby.com,porkbun,uncategorised,,none
antywir.com,porkbun,uncategorised,,none
apartmentsloans.com,porkbun,financial,loans,stem
apetlon.com,porkbun,uncategorised,,none
appareilsmenagers.com,dynadot,uncategorised,,none
appleby.cv,porkbun,uncategorised,,none
applejuicers.com,dynadot,uncategorised,,none
applesorter.com,dynadot,uncategorised,,none
aprj.com,dynadot,brandable-short,4-char,length
aproximar.com,dynadot,uncategorised,,none
araignees.com,porkbun,uncategorised,,none
arroseur.com,porkbun,uncategorised,,none
articulas.com,porkbun,uncategorised,,none
artisan-cheese.com,porkbun,uncategorised,,none
artisan-cheeses.com,porkbun,uncategorised,,none
asegurandovida.com,porkbun,uncategorised,,none
athomeworkout.com,porkbun,uncategorised,,none
atmosphericmodels.com,porkbun,uncategorised,,none
auberginen.com,porkbun,uncategorised,,none
auditingbusinesses.com,spaceship,business-services,general,stem
australian-wine.com,spaceship,uncategorised,,none
australiavilla.com,dynadot,travel,general,stem
auto-concierge.com,spaceship,automotive,general,token
auto-feeder.com,spaceship,automotive,general,token
auto-feeders.com,spaceship,automotive,general,token
autoinsurancechoices.com,dynadot,financial,insurance,stem
autoinsurancelead.com,porkbun,financial,insurance,stem
automate-website.com,porkbun,ai-tech,ai,token
automatedcleaning.com,dynadot,ai-tech,ai,stem
automatic-website.com,porkbun,web-digital,web,token
automaticvanhire.com,spaceship,ai-tech,ai,stem
automotive-lighting.com,porkbun,home-garden,furnishings,token
autopilotas.com,dynadot,uncategorised,,none
autoverkehr.com,porkbun,uncategorised,,none
avenueprivee.com,dynadot,uncategorised,,none
averyvet.com,dynadot,uncategorised,,none
badminton-racket.com,spaceship,uncategorised,,none
badrumsmatta.com,porkbun,uncategorised,,none
badskor.com,porkbun,uncategorised,,none
bakkertjes.com,porkbun,uncategorised,,none
balustradewire.com,spaceship,uncategorised,,none
bancaras.com,dynadot,uncategorised,,none
banksavingsrates.com,porkbun,financial,banking-savings,stem
bankssavingsrates.com,porkbun,financial,banking-savings,stem
banneradscreator.com,dynadot,uncategorised,,none
bargaingadgets.com,dynadot,consumer-products,appliances,stem
barriogotico.com,porkbun,uncategorised,,none
barwagen.com,porkbun,uncategorised,,none
basement-conversion.com,spaceship,uncategorised,,none
basement-conversions.com,spaceship,uncategorised,,none
beadblasters.com,dynadot,uncategorised,,none
beekar.com,porkbun,uncategorised,,none
beerspoilage.com,porkbun,uncategorised,,none
bespoke-tailoring.com,spaceship,uncategorised,,none
bespokefiredoors.com,dynadot,home-garden,windows-doors,stem
bestaccountingfirm.com,dynadot,business-services,accounting,stem
bestcarjacks.com,spaceship,uncategorised,,none
besttoolkits.com,spaceship,uncategorised,,none
bi-fold-door.com,spaceship,home-garden,windows-doors,token
bi-fold-doors.com,spaceship,home-garden,windows-doors,token
bicicletasplegables.com,dynadot,uncategorised,,none
bicycleholders.com,dynadot,uncategorised,,none
bienenhaltung.com,dynadot,uncategorised,,none
bifold-door.com,porkbun,home-garden,windows-doors,token
bigotime.com,dynadot,uncategorised,,none
bikecables.com,dynadot,uncategorised,,none
bin-lorries.com,porkbun,uncategorised,,none
binlorries.com,porkbun,uncategorised,,none
biphene.com,porkbun,uncategorised,,none
bitesizejewelry.com,dynadot,uncategorised,,none
bleusaphir.com,porkbun,uncategorised,,none
bleute.com,porkbun,uncategorised,,none
boat-training.com,spaceship,education,general,token
boiler-installation.com,porkbun,home-garden,heating-plumbing,token
boiler-part.com,porkbun,home-garden,heating-plumbing,token
boiler-spare.com,porkbun,home-garden,heating-plumbing,token
boiler-spares.com,porkbun,home-garden,heating-plumbing,token
boilerpart.com,porkbun,home-garden,heating-plumbing,stem
book-air-taxi.com,porkbun,uncategorised,,none
boreholesubmersibles.com,dynadot,uncategorised,,none
boxing-tickets.com,dynadot,sports-leisure,general,token
boxingonline.com,dynadot,sports-leisure,general,stem
boxsashwindow.com,dynadot,home-garden,windows-doors,stem
boysholidays.com,porkbun,travel,general,stem
brewery-equipment.com,porkbun,uncategorised,,none
brick-cutting.com,dynadot,uncategorised,,none
brickcladdingsystems.com,spaceship,uncategorised,,none
bridging-loan.net,porkbun,financial,loans,token
brochuredesign.com,porkbun,web-digital,design,stem
brochuresdesign.com,dynadot,web-digital,design,stem
bruisen.com,porkbun,uncategorised,,none
bug-finding.com,porkbun,uncategorised,,none
bulkdiamonds.com,dynadot,uncategorised,,none
bulldozerlease.com,porkbun,uncategorised,,none
business-audits.com,spaceship,business-services,audits,token
business-laptops.com,spaceship,business-services,general,token
businessaiaudit.com,spaceship,business-services,general,stem
businessaiaudits.com,spaceship,business-services,general,stem
businesscloudsoftware.com,porkbun,ai-tech,software,stem
businesscredithelp.com,dynadot,business-services,general,stem
businessloaneligibility.com,dynadot,business-services,general,stem
businessvehicleleasing.com,spaceship,business-services,general,stem
businessventurecapital.com,porkbun,business-services,general,stem
buyaprivateisland.com,dynadot,uncategorised,,none
buybeaches.com,dynadot,uncategorised,,none
buycookers.com,dynadot,uncategorised,,none
buydarts.com,dynadot,uncategorised,,none
buylodges.com,porkbun,uncategorised,,none
buysellcastle.com,dynadot,uncategorised,,none
buysportskit.com,dynadot,sports-leisure,general,stem
buyvehicleinsurance.com,porkbun,financial,insurance,stem
cabelolindo.com,dynadot,uncategorised,,none
cabinet-makers.com,dynadot,uncategorised,,none
cable-railing.com,porkbun,uncategorised,,none
cablecontainment.com,porkbun,uncategorised,,none
calculatormortgages.com,dynadot,tools-comparison,general,stem
calculatorsformortgage.com,dynadot,tools-comparison,general,stem
calendarsplanners.com,dynadot,uncategorised,,none
camperhuur.com,porkbun,uncategorised,,none
campervan-hire.com,spaceship,business-services,jobs-hire,token
campervanroofs.com,dynadot,uncategorised,,none
campingandcaravanpark.com,porkbun,uncategorised,,none
canadianforestry.com,dynadot,uncategorised,,none
capitalandinterest.com,porkbun,uncategorised,,none
capitalrepaymentmortgage.com,porkbun,financial,mortgages,stem
capitalrepaymentmortgages.com,porkbun,financial,mortgages,stem
car-jacks.com,spaceship,automotive,general,token
car-phone-mount.com,porkbun,automotive,general,token
car-phone-mounts.com,spaceship,automotive,general,token
caravan-sites.com,porkbun,web-digital,web,token
caravanparkhomes.com,porkbun,property,general,stem
carbon-road-bike.com,spaceship,uncategorised,,none
carbon-road-bikes.com,spaceship,uncategorised,,none
carbootfair.com,dynadot,uncategorised,,none
carhireireland.com,dynadot,uncategorised,,none
carpentryfirst.com,dynadot,uncategorised,,none
carpfisheries.com,dynadot,uncategorised,,none
carremaps.com,dynadot,uncategorised,,none
carsforchildren.com,dynadot,uncategorised,,none
cassavaroot.com,dynadot,uncategorised,,none
cavitywallextraction.com,porkbun,uncategorised,,none
ccdimaging.com,dynadot,uncategorised,,none
ccj-loan.com,porkbun,financial,loans,token
cebolleta.com,porkbun,uncategorised,,none
cellobows.com,porkbun,uncategorised,,none
cementcentre.com,porkbun,uncategorised,,none
ceramic-floor-tiles.com,porkbun,home-garden,building-trades,token
chargebackcalculator.com,porkbun,tools-comparison,general,stem
chaussuresenfants.com,porkbun,uncategorised,,none
cheapaircon.com,porkbun,uncategorised,,none
cheapercapital.com,dynadot,uncategorised,,none
cheapfastloan.com,dynadot,financial,loans,stem
cheapparkingheathrow.com,porkbun,uncategorised,,none
cheapshorttermloans.com,dynadot,financial,loans,stem
cheapstick.com,porkbun,uncategorised,,none
chef-prive.com,dynadot,uncategorised,,none
cheshireseo.com,spaceship,uncategorised,,none
chidele.com,dynadot,uncategorised,,none
childjeans.com,dynadot,uncategorised,,none
childrensportraits.com,dynadot,sports-leisure,general,stem
childrensportswear.com,dynadot,sports-leisure,general,stem
chillertrailer.com,spaceship,uncategorised,,none
chillertrailers.com,dynadot,uncategorised,,none
chocolatefountainhire.com,porkbun,uncategorised,,none
choyes.com,porkbun,uncategorised,,none
christmasjoyideas.com,dynadot,consumer-products,gifts,stem
claddingpanels.com,porkbun,uncategorised,,none
claimsolicitor.com,porkbun,legal,general,stem
client-accounts.com,porkbun,business-services,accounting,token
climbing-ropes.com,spaceship,uncategorised,,none
codeintrospection.com,porkbun,uncategorised,,none
cogk.com,porkbun,brandable-short,4-char,length
col-tec.com,porkbun,uncategorised,,none
collateralfinancing.com,porkbun,financial,general,stem
comidacachorros.com,porkbun,uncategorised,,none
commercialfitouts.com,porkbun,uncategorised,,none
commercialpaintspraying.com,porkbun,uncategorised,,none
commercialpoolequipment.com,spaceship,uncategorised,,none
commercialvehiclehire.com,porkbun,automotive,general,stem
commerciele.com,porkbun,uncategorised,,none
communicador.com,dynadot,uncategorised,,none
comovilla.com,porkbun,travel,general,stem
company-audits.com,spaceship,business-services,audits,token
companyauditing.com,porkbun,business-services,audits,stem
companyjingles.com,dynadot,business-services,general,stem
comparesavingsrates.com,porkbun,financial,banking-savings,stem
comparison-site.com,porkbun,web-digital,web,token
compdoors.com,dynadot,home-garden,windows-doors,stem
compositebackdoors.com,porkbun,home-garden,windows-doors,stem
compositefrontdoors.com,dynadot,home-garden,windows-doors,stem
comprada.com,dynadot,uncategorised,,none
comprarticket.com,porkbun,uncategorised,,none
comptabilitat.com,porkbun,uncategorised,,none
conciergist.com,dynadot,uncategorised,,none
concrete-homes.com,porkbun,property,general,token
condommachines.com,dynadot,uncategorised,,none
conference-microphones.com,spaceship,uncategorised,,none
conjurar.com,dynadot,uncategorised,,none
connect-travel.com,porkbun,travel,general,token
constructionequipmentlease.com,porkbun,uncategorised,,none
consumerdrone.com,dynadot,uncategorised,,none
cooling-mattresses.com,spaceship,home-garden,furnishings,stem
coolingmattresses.com,spaceship,home-garden,furnishings,stem
cordless-vacuums.com,spaceship,consumer-products,appliances,stem
cordlessmowers.com,dynadot,uncategorised,,none
core-drilling.com,dynadot,uncategorised,,none
core-renovation.com,spaceship,home-garden,kitchens-extensions,token
corksprayinsulation.com,dynadot,uncategorised,,none
cornwallmarketing.com,dynadot,web-digital,marketing,stem
cornwallpromotions.com,dynadot,web-digital,marketing,stem
corporate-audits.com,spaceship,business-services,audits,token
corporateinvitation.com,dynadot,business-services,general,stem
cortexregistry.com,porkbun,uncategorised,,none
costaricashipping.com,dynadot,uncategorised,,none
cottagehire.com,porkbun,uncategorised,,none
couriervans.com,porkbun,uncategorised,,none
cranehireuk.com,dynadot,uncategorised,,none
creditoinmobiliario.com,dynadot,financial,credit-debt,stem
ctscannerlease.com,porkbun,uncategorised,,none
currency-changer.com,spaceship,uncategorised,,none
currencyforecaster.com,dynadot,uncategorised,,none
cursusinvesteren.com,porkbun,financial,investing,stem
custom-jerseys.com,dynadot,uncategorised,,none
custombunkers.com,dynadot,uncategorised,,none
customcampervan.com,spaceship,uncategorised,,none
customexhibitionstands.com,porkbun,uncategorised,,none
cvconsultants.com,dynadot,uncategorised,,none
cyber-attack-insurance.com,porkbun,financial,insurance,token
daeter.com,porkbun,uncategorised,,none
dartsonline.com,dynadot,uncategorised,,none
datennetze.com,porkbun,uncategorised,,none
day-design.com,porkbun,web-digital,design,token
debtsconsolidation.com,dynadot,financial,credit-debt,stem
debugging-with-ai.com,porkbun,ai-tech,ai,token
debuggingwithai.com,porkbun,uncategorised,,none
deckresurface.com,dynadot,uncategorised,,none
deep-dive.uk,dynadot,uncategorised,,none
degreecosts.com,dynadot,uncategorised,,none
deium.com,dynadot,uncategorised,,none
dekoriert.com,porkbun,uncategorised,,none
delfiin.com,porkbun,uncategorised,,none
delivery-driver-job.com,porkbun,business-services,jobs-hire,token
delivery-driver-jobs.com,porkbun,business-services,jobs-hire,token
deluxemeubelen.com,dynadot,uncategorised,,none
dentalequipmentlease.com,porkbun,health-medical,general,stem
depositprotectionscheme.com,dynadot,uncategorised,,none
designdiploma.com,porkbun,web-digital,design,stem
designdrones.com,dynadot,web-digital,design,stem
desobjets.com,porkbun,uncategorised,,none
developmentarea.com,porkbun,uncategorised,,none
dialyzers.com,dynadot,uncategorised,,none
diamond-necklaces.com,spaceship,uncategorised,,none
dieimmobilie.com,dynadot,uncategorised,,none
diesel-center.com,porkbun,uncategorised,,none
dieselstoragetanks.com,spaceship,uncategorised,,none
dietarymeds.com,dynadot,uncategorised,,none
digital-venue.com,porkbun,uncategorised,,none
digitalfishfinder.com,dynadot,uncategorised,,none
discountmailing.com,dynadot,consumer-products,retail,stem
discover-bugs.com,porkbun,uncategorised,,none
discoverbugs.com,porkbun,uncategorised,,none
distinguida.com,dynadot,uncategorised,,none
documentanalyser.com,porkbun,uncategorised,,none
documentintrospection.com,porkbun,uncategorised,,none
dog-blanket.com,porkbun,pets-vet,general,token
dog-blankets.com,porkbun,pets-vet,general,token
dog-life-jackets.com,spaceship,pets-vet,general,token
door-knobs.com,dynadot,home-garden,windows-doors,token
dorpje.com,porkbun,uncategorised,,none
dorsetlodges.com,porkbun,uncategorised,,none
drainclearance.com,dynadot,home-garden,heating-plumbing,stem
draught-excluders.com,spaceship,uncategorised,,none
draughtexclusion.com,spaceship,uncategorised,,none
