domain,category,subcategory,method
aadaishu.com,foreign-language,chinese,llm
acoustic-enclosures.com,industrial-equipment,general,llm
acousticcameras.com,industrial-equipment,test-measurement,llm
actuariel.com,financial,insurance,llm
adcentre.org,web-digital,marketing,llm
adjustablewalkingstick.com,health-medical,mobility-aids,llm
adjustablewalkingsticks.com,health-medical,mobility-aids,llm
aeroplanespares.com,aviation,parts,llm
afficheurs.com,consumer-products,electronics,llm
affreteur.com,transport-parking,logistics,llm
agenciaviaje.com,travel,general,llm
aggeggi.com,foreign-language,italian,llm
agricultureseeds.com,agriculture-farming,supplies,llm
aiasjudge.com,ai-tech,ai,llm
aimakefile.com,ai-tech,software,llm
aircraft-docking.com,aviation,ground-support,llm
aircraft-part.com,aviation,parts,llm
airleakagetests.com,home-garden,energy,llm
aktiivinen.com,foreign-language,finnish,llm
al-jebr.com,education,general,llm
all-in-ones.com,consumer-products,electronics,llm
allesreiniger.com,consumer-products,household,llm
alquilados.com,property,rentals,llm
alquilermarbella.com,property,rentals,llm
altergasthof.com,travel,accommodation,llm
amantini.com,names-places,personal,llm
analyticscentral.com,web-digital,marketing,llm
anatinae.com,foreign-language,latin,llm
ankeren.com,foreign-language,dutch,llm
anthonyappleby.com,names-places,personal,llm
antywir.com,ai-tech,software,llm
apetlon.com,names-places,geographic,llm
appareilsmenagers.com,consumer-products,appliances,llm
appleby.cv,names-places,personal,llm
applejuicers.com,consumer-products,appliances,llm
applesorter.com,agriculture-farming,equipment,llm
aproximar.com,foreign-language,spanish,llm
araignees.com,foreign-language,french,llm
arroseur.com,home-garden,garden,llm
articulas.com,foreign-language,spanish,llm
artisan-cheese.com,food-drink,general,llm
artisan-cheeses.com,food-drink,general,llm
asegurandovida.com,financial,insurance,llm
athomeworkout.com,sports-leisure,fitness,llm
atmosphericmodels.com,business-services,engineering,llm
auberginen.com,food-drink,general,llm
australian-wine.com,food-drink,wine,llm
autopilotas.com,ai-tech,ai,llm
autoverkehr.com,automotive,general,llm
avenueprivee.com,foreign-language,french,llm
averyvet.com,pets-vet,general,llm
badminton-racket.com,sports-leisure,general,llm
badrumsmatta.com,home-garden,furnishings,llm
badskor.com,consumer-products,clothing-fashion,llm
bakkertjes.com,food-drink,general,llm
balustradewire.com,home-garden,building-trades,llm
bancaras.com,financial,banking-savings,llm
banneradscreator.com,web-digital,marketing,llm
barriogotico.com,names-places,geographic,llm
barwagen.com,home-garden,furnishings,llm
basement-conversion.com,home-garden,kitchens-extensions,llm
basement-conversions.com,home-garden,kitchens-extensions,llm
beadblasters.com,industrial-equipment,machinery,llm
beekar.com,brandable-short,pronounceable,llm
beerspoilage.com,food-drink,brewing,llm
bespoke-tailoring.com,consumer-products,clothing-fashion,llm
bestcarjacks.com,tools-comparison,general,llm
besttoolkits.com,tools-comparison,general,llm
bicicletasplegables.com,sports-leisure,cycling,llm
bicycleholders.com,sports-leisure,cycling,llm
bienenhaltung.com,agriculture-farming,farming,llm
bigotime.com,brandable-short,pronounceable,llm
bikecables.com,sports-leisure,cycling,llm
bin-lorries.com,automotive,commercial-vehicles,llm
binlorries.com,automotive,commercial-vehicles,llm
biphene.com,brandable-short,pronounceable,llm
bitesizejewelry.com,consumer-products,jewellery-watches,llm
bleusaphir.com,consumer-products,jewellery-watches,llm
bleute.com,foreign-language,french,llm
book-air-taxi.com,aviation,charter,llm
boreholesubmersibles.com,industrial-equipment,machinery,llm
brewery-equipment.com,food-drink,brewing,llm
brick-cutting.com,home-garden,building-trades,llm
brickcladdingsystems.com,home-garden,building-trades,llm
bruisen.com,foreign-language,dutch,llm
bug-finding.com,ai-tech,software,llm
bulkdiamonds.com,consumer-products,jewellery-watches,llm
bulldozerlease.com,industrial-equipment,construction-plant,llm
buyaprivateisland.com,property,luxury,llm
buybeaches.com,property,luxury,llm
buycookers.com,consumer-products,appliances,llm
buydarts.com,sports-leisure,general,llm
buylodges.com,travel,accommodation,llm
buysellcastle.com,property,luxury,llm
cabelolindo.com,beauty-personal-care,hair,llm
cabinet-makers.com,home-garden,furnishings,llm
cable-railing.com,home-garden,building-trades,llm
cablecontainment.com,industrial-equipment,electrical,llm
calendarsplanners.com,consumer-products,office-stationery,llm
camperhuur.com,automotive,leisure-vehicles,llm
campervanroofs.com,automotive,leisure-vehicles,llm
campingandcaravanpark.com,travel,accommodation,llm
canadianforestry.com,agriculture-farming,forestry,llm
capitalandinterest.com,financial,mortgages,llm
carbon-road-bike.com,sports-leisure,cycling,llm
carbon-road-bikes.com,sports-leisure,cycling,llm
carbootfair.com,consumer-products,retail,llm
carhireireland.com,travel,car-hire,llm
carpentryfirst.com,home-garden,building-trades,llm
carpfisheries.com,sports-leisure,fishing,llm
carremaps.com,misc,general,llm
