domain,registrar,category,subcategory,method
00.org.uk,afternic-preview,brandable-short,2-char,length
2v.uk,afternic-preview,brandable-short,2-char,length
2w.uk,afternic-preview,brandable-short,2-char,length
3dhomesales.co.uk,afternic-preview,property,general,stem
3dviewers.co.uk,afternic-preview,uncategorised,,none
4l.uk,afternic-preview,brandable-short,2-char,length
adapting.uk,afternic-preview,uncategorised,,none
adultchristmas.co.uk,afternic-preview,consumer-products,gifts,stem
adultchristmaspresents.co.uk,afternic-preview,consumer-products,gifts,stem
adultxmas.co.uk,afternic-preview,uncategorised,,none
adversecreditmortgage.co.uk,afternic-preview,financial,mortgages,stem
adversecreditmortgage.uk,afternic-preview,financial,mortgages,stem
advertdesign.co.uk,afternic-preview,web-digital,design,stem
advertise.co.uk,afternic-preview,web-digital,marketing,token
advertisementdesign.co.uk,afternic-preview,web-digital,marketing,stem
advertisementdesign.uk,afternic-preview,web-digital,marketing,stem
advertisingagencies.co.uk,afternic-preview,web-digital,marketing,stem
agritec.uk,afternic-preview,uncategorised,,none
aiq.uk,afternic-preview,brandable-short,3-char,length
alternativeenergy.co.uk,afternic-preview,home-garden,energy,stem
alternativepower.co.uk,afternic-preview,uncategorised,,none
alternativetravel.co.uk,afternic-preview,travel,general,stem
ancestryonline.co.uk,afternic-preview,uncategorised,,none
apis.uk,afternic-preview,ai-tech,software,token
arabianperfumes.co.uk,afternic-preview,uncategorised,,none
articlesubmission.co.uk,afternic-preview,uncategorised,,none
artworker.uk,afternic-preview,uncategorised,,none
artworkers.co.uk,afternic-preview,uncategorised,,none
artworkers.uk,afternic-preview,uncategorised,,none
autoai.uk,afternic-preview,uncategorised,,none
automatedtrading.uk,afternic-preview,ai-tech,ai,stem
automaticcarinsurance.co.uk,afternic-preview,financial,insurance,stem
automaticcarinsurance.uk,afternic-preview,financial,insurance,stem
autumnfashions.co.uk,afternic-preview,uncategorised,,none
aviatorjacket.co.uk,afternic-preview,uncategorised,,none
aviatorjacket.uk,afternic-preview,uncategorised,,none
aviatorjackets.uk,afternic-preview,uncategorised,,none
bacteriology.co.uk,afternic-preview,uncategorised,,none
bacteriology.uk,afternic-preview,uncategorised,,none
bagdesigners.uk,afternic-preview,web-digital,design,stem
bagdesigns.uk,afternic-preview,web-digital,design,stem
banker.co.uk,afternic-preview,financial,banking-savings,token
banker.uk,afternic-preview,financial,banking-savings,token
