domain,category,subcategory,method
3dviewers.co.uk,ai-tech,software,llm
adapting.uk,generic-word,general,llm
adultxmas.co.uk,consumer-products,gifts,llm
agritec.uk,agriculture-farming,equipment,llm
alternativepower.co.uk,energy-utilities,renewables,llm
ancestryonline.co.uk,misc,general,llm
arabianperfumes.co.uk,beauty-personal-care,fragrance,llm
articlesubmission.co.uk,web-digital,marketing,llm
artworker.uk,web-digital,design,llm
artworkers.co.uk,web-digital,design,llm
artworkers.uk,web-digital,design,llm
autoai.uk,ai-tech,ai,llm
autumnfashions.co.uk,consumer-products,clothing-fashion,llm
aviatorjacket.co.uk,consumer-products,clothing-fashion,llm
aviatorjacket.uk,consumer-products,clothing-fashion,llm
aviatorjackets.uk,consumer-products,clothing-fashion,llm
bacteriology.co.uk,health-medical,general,llm
bacteriology.uk,health-medical,general,llm
basementflat.co.uk,property,general,llm
bigdata.org.uk,ai-tech,software,llm
bigdomains.uk,web-digital,web,llm
bigxmas.co.uk,consumer-products,gifts,llm
bodybeautiful.uk,beauty-personal-care,general,llm
bodybeauty.uk,beauty-personal-care,general,llm
bodycream.co.uk,beauty-personal-care,skincare,llm
bodylotions.co.uk,beauty-personal-care,skincare,llm
bodymassindex.uk,health-medical,general,llm
bulbous.co.uk,generic-word,general,llm
carbon-dioxide.co.uk,energy-utilities,general,llm
carsafes.co.uk,automotive,parts-accessories,llm
carsafes.uk,automotive,parts-accessories,llm
catalogues.co.uk,consumer-products,retail,llm
cataloguevideo.co.uk,web-digital,video,llm
cataloguevideos.co.uk,web-digital,video,llm
cctvcamera.uk,consumer-products,electronics,llm
cctvsecuritysystems.co.uk,consumer-products,electronics,llm
centredrills.uk,industrial-equipment,machinery,llm
cheap-presents.co.uk,consumer-products,gifts,llm
cheapbuild.co.uk,home-garden,building-trades,llm
cheapestparking.co.uk,transport-parking,parking,llm
cheapfarefinder.co.uk,travel,general,llm
chicklets.co.uk,generic-word,general,llm
clips.uk,generic-word,general,llm
clothingclearance.co.uk,consumer-products,clothing-fashion,llm
commercialartist.uk,web-digital,design,llm
competitiverates.co.uk,financial,general,llm
competitoranalysis.uk,web-digital,marketing,llm
conferences.co.uk,events-exhibitions,general,llm
contentresearch.co.uk,web-digital,content,llm
contentresearch.uk,web-digital,content,llm
contentwritingservices.uk,web-digital,content,llm
copyonline.co.uk,web-digital,content,llm
createvideo.uk,web-digital,video,llm
cuddle.uk,generic-word,general,llm
customerpersona.uk,web-digital,marketing,llm
datingevenings.co.uk,dating,general,llm
delivery-drivers.uk,business-services,jobs-hire,llm
deliverydriverjobs.uk,business-services,jobs-hire,llm
demandgeneration.uk,web-digital,marketing,llm
demisexual.uk,dating,general,llm
developerresource.uk,ai-tech,software,llm
developerresources.uk,ai-tech,software,llm
developmentarea.uk,property,development,llm
digitalstationery.uk,web-digital,design,llm
dingos.co.uk,generic-word,general,llm
diningtableandchairs.uk,home-garden,furnishings,llm
dividends.co.uk,financial,investing,llm
dogramp.co.uk,pets-vet,general,llm
dogramp.uk,pets-vet,general,llm
dogramps.uk,pets-vet,general,llm
donkeyjackets.co.uk,consumer-products,clothing-fashion,llm
easycare.uk,health-medical,care,llm
emailsecurity.uk,ai-tech,software,llm
enables.co.uk,generic-word,general,llm
eyesight.org.uk,health-medical,general,llm
familyarchive.uk,misc,general,llm
farmmachinery.uk,agriculture-farming,equipment,llm
festivepresents.co.uk,consumer-products,gifts,llm
fingerlessgloves.co.uk,consumer-products,clothing-fashion,llm
fishhook.uk,sports-leisure,fishing,llm
fivergigs.co.uk,business-services,jobs-hire,llm
flat-for-rent.co.uk,property,rentals,llm
flatprices.co.uk,property,general,llm
floristsmanchester.co.uk,consumer-products,gifts,llm
flubbert.co.uk,brandable-short,pronounceable,llm
flyers.uk,packaging-print,print-services,llm
forblokes.co.uk,consumer-products,gifts,llm
freetrial.uk,generic-word,phrase,llm
freshlook.uk,generic-word,phrase,llm
fridge-magnets.co.uk,consumer-products,gifts,llm
fullserviceagency.uk,web-digital,marketing,llm
gapanalysis.uk,business-services,general,llm
generativeart.co.uk,ai-tech,ai,llm
generativeart.uk,ai-tech,ai,llm
giftfinder.uk,consumer-products,gifts,llm
girly.co.uk,generic-word,general,llm
goldmines.co.uk,financial,investing,llm
goldpaint.co.uk,consumer-products,art-craft,llm
guaranteed.co.uk,generic-word,general,llm
hacks.co.uk,generic-word,general,llm
handtackers.uk,home-garden,tools-diy,llm
hcare.co.uk,health-medical,care,llm
hcare.uk,health-medical,care,llm
heartonline.co.uk,health-medical,general,llm
highestinterest.co.uk,financial,banking-savings,llm
highestrate.co.uk,financial,banking-savings,llm
holybibles.co.uk,consumer-products,retail,llm
horsebets.co.uk,sports-leisure,betting,llm
hospitalsupplies.uk,health-medical,equipment,llm
identicards.co.uk,packaging-print,print-services,llm
ileeds.co.uk,names-places,geographic,llm
imagedirectory.co.uk,web-digital,photography,llm
imagedirectory.uk,web-digital,photography,llm
implications.co.uk,generic-word,general,llm
incapacitation.co.uk,financial,insurance,llm
