domain,category,subcategory,method
3dartists.co.uk,web-digital,design,llm
abtesting.uk,web-digital,marketing,llm
acoustic-guitar.co.uk,music,instruments,llm
activitytracker.uk,consumer-products,electronics,llm
adapter.uk,consumer-products,electronics,llm
adcopywriting.co.uk,web-digital,content,llm
adrank.uk,web-digital,marketing,llm
aerialdronesurveys.co.uk,property,surveys,llm
affordablehome.uk,property,general,llm
agricultural-machinery.uk,agriculture-farming,equipment,llm
aiartgallery.uk,ai-tech,ai,llm
aigraphics.uk,ai-tech,ai,llm
aimate.uk,ai-tech,ai,llm
aiproductstrategy.co.uk,ai-tech,ai,llm
aiproductstrategy.uk,ai-tech,ai,llm
aistudio.uk,ai-tech,ai,llm
aiteammate.co.uk,ai-tech,ai,llm
aiteammate.uk,ai-tech,ai,llm
aitwin.co.uk,ai-tech,ai,llm
aiworkmate.co.uk,ai-tech,ai,llm
aiworkmate.uk,ai-tech,ai,llm
alternativepresents.co.uk,consumer-products,gifts,llm
anglingsupplies.uk,sports-leisure,fishing,llm
anne-marie.co.uk,names-places,personal,llm
annualreports.uk,business-services,accounting,llm
antiquesdealers.co.uk,consumer-products,retail,llm
antiquestorage.co.uk,business-services,general,llm
antislipdecking.co.uk,home-garden,garden,llm
anttrack.co.uk,ai-tech,software,llm
anttrack.uk,ai-tech,software,llm
appmusic.co.uk,music,general,llm
appmusic.uk,music,general,llm
argumentmap.co.uk,ai-tech,software,llm
argumentmap.uk,ai-tech,software,llm
attictruss.co.uk,home-garden,building-trades,llm
audiobrochure.co.uk,packaging-print,print-services,llm
audiocamera.co.uk,consumer-products,electronics,llm
audiocamera.uk,consumer-products,electronics,llm
audiocameras.co.uk,consumer-products,electronics,llm
audiocameras.uk,consumer-products,electronics,llm
axles.uk,automotive,parts-accessories,llm
babyplaymat.uk,consumer-products,kids-baby,llm
babyplaymats.co.uk,consumer-products,kids-baby,llm
babyplaymats.uk,consumer-products,kids-baby,llm
backingtracks.uk,music,general,llm
banquethall.co.uk,events-exhibitions,general,llm
banquetteseating.co.uk,home-garden,furnishings,llm
bathroomcabinet.co.uk,home-garden,furnishings,llm
beefrice.co.uk,food-drink,general,llm
bespokevans.co.uk,automotive,commercial-vehicles,llm
bestelectricscooter.uk,consumer-products,electronics,llm
bestelectricscooters.uk,consumer-products,electronics,llm
bestscooter.uk,consumer-products,electronics,llm
bestvet.uk,pets-vet,general,llm
bestvets.uk,pets-vet,general,llm
billz.uk,financial,general,llm
blackskirts.co.uk,consumer-products,clothing-fashion,llm
body3d.uk,health-medical,general,llm
bodymap.uk,health-medical,general,llm
bodyshape.uk,sports-leisure,fitness,llm
bodywrapping.uk,beauty-personal-care,general,llm
botsales.co.uk,ai-tech,ai,llm
botsales.uk,ai-tech,ai,llm
boxvan.uk,automotive,commercial-vehicles,llm
boysbicycles.co.uk,sports-leisure,cycling,llm
boysbicycles.uk,sports-leisure,cycling,llm
brandalignment.co.uk,web-digital,marketing,llm
brick-cutting.co.uk,home-garden,building-trades,llm
brickcladdingsystems.co.uk,home-garden,building-trades,llm
bridalplanner.co.uk,events-exhibitions,general,llm
bunnies.co.uk,pets-vet,general,llm
buygoldbullion.co.uk,financial,investing,llm
buygoldbullion.uk,financial,investing,llm
buysilverbullion.co.uk,financial,investing,llm
buysilverbullion.uk,financial,investing,llm
cabinsforsale.co.uk,property,park-homes,llm
cablelooms.co.uk,industrial-equipment,electrical,llm
calculation.uk,generic-word,general,llm
calipers.co.uk,industrial-equipment,test-measurement,llm
camperbeds.co.uk,automotive,leisure-vehicles,llm
campingequipment.co.uk,sports-leisure,outdoors,llm
campingpod.co.uk,travel,accommodation,llm
caravanforhire.co.uk,travel,accommodation,llm
caravanpark.uk,travel,accommodation,llm
caravanretreats.co.uk,travel,accommodation,llm
caravantowing.co.uk,automotive,leisure-vehicles,llm
cargocontainers.co.uk,industrial-equipment,general,llm
cartoon.co.uk,generic-word,general,llm
casualshirt.uk,consumer-products,clothing-fashion,llm
casualshirts.uk,consumer-products,clothing-fashion,llm
catered.uk,food-drink,general,llm
cementbags.co.uk,industrial-equipment,materials,llm
cementmix.co.uk,industrial-equipment,materials,llm
chagford.uk,names-places,geographic,llm
chargerpoint.co.uk,home-garden,energy,llm
cheapstationery.uk,consumer-products,office-stationery,llm
chicklet.co.uk,brandable-short,pronounceable,llm
chocolatedirect.co.uk,food-drink,general,llm
chocolatesdirect.uk,food-drink,general,llm
classicshoes.co.uk,consumer-products,clothing-fashion,llm
clotheshangers.uk,consumer-products,household,llm
colloidalsilver.uk,health-medical,supplements,llm
comedienne.uk,generic-word,general,llm
commercialclearance.co.uk,business-services,general,llm
commercialconcrete.co.uk,home-garden,building-trades,llm
commercialshutters.co.uk,home-garden,windows-doors,llm
commercialvansforsale.co.uk,automotive,commercial-vehicles,llm
compositegate.co.uk,home-garden,garden,llm
compositetimber.co.uk,home-garden,garden,llm
conservatoryroofpanels.co.uk,home-garden,windows-doors,llm
containertrader.co.uk,industrial-equipment,general,llm
contentoutreach.co.uk,web-digital,marketing,llm
contextengineer.uk,ai-tech,ai,llm
cookly.uk,food-drink,general,llm
countrycaravans.co.uk,automotive,leisure-vehicles,llm
couriervans.co.uk,automotive,commercial-vehicles,llm
crackers.uk,food-drink,general,llm
crockeryprint.uk,packaging-print,print-services,llm
currencyconversion.co.uk,financial,foreign-exchange,llm
currencyconversions.co.uk,financial,foreign-exchange,llm
curvedstaircases.co.uk,home-garden,building-trades,llm
customerinsights.co.uk,web-digital,marketing,llm
customerinsights.uk,web-digital,marketing,llm
cyber-week.co.uk,consumer-products,retail,llm
debugger.co.uk,ai-tech,software,llm
decompress.uk,generic-word,general,llm
deskplants.co.uk,home-garden,garden,llm
digirep.co.uk,ai-tech,ai,llm
digirep.uk,ai-tech,ai,llm
digitalnomadjobs.co.uk,business-services,jobs-hire,llm
digitalrep.co.uk,ai-tech,ai,llm
digitalrep.uk,ai-tech,ai,llm
digitalrepresentative.co.uk,ai-tech,ai,llm
digitalrepresentative.uk,ai-tech,ai,llm
digitalrepresentatives.co.uk,ai-tech,ai,llm
digitalrepresentatives.uk,ai-tech,ai,llm
digitalreps.uk,ai-tech,ai,llm
disguises.co.uk,consumer-products,gifts,llm
dishcloths.co.uk,consumer-products,household,llm
divots.co.uk,sports-leisure,golf,llm
diycentre.co.uk,home-garden,tools-diy,llm
doggydna.co.uk,pets-vet,general,llm
drillingrig.co.uk,industrial-equipment,construction-plant,llm
droppedkerbs.co.uk,home-garden,driveways-ground,llm
drumliners.co.uk,packaging-print,packaging,llm
dsgnr.uk,web-digital,design,llm
duplexes.co.uk,property,general,llm
duplicates.co.uk,generic-word,general,llm
easterpresents.co.uk,consumer-products,gifts,llm
easyrag.co.uk,ai-tech,ai,llm
easyrag.uk,ai-tech,ai,llm
eborg.uk,brandable-short,pronounceable,llm
edibly.uk,food-drink,general,llm
editorialplacement.uk,web-digital,marketing,llm
egret.co.uk,generic-word,general,llm
electricalgoods.co.uk,consumer-products,appliances,llm
electricforklifts.uk,industrial-equipment,lifting,llm
electriclongboards.uk,consumer-products,electronics,llm
enablers.co.uk,generic-word,general,llm
endangered.uk,generic-word,general,llm
escooterreviews.uk,tools-comparison,general,llm
evalloops.co.uk,ai-tech,ai,llm
evalloops.uk,ai-tech,ai,llm
evaluating.uk,generic-word,general,llm
evaluator.uk,generic-word,general,llm
exhibitionbooths.co.uk,events-exhibitions,displays,llm
expensivepresents.co.uk,consumer-products,gifts,llm
externalcladding.co.uk,home-garden,building-trades,llm
facepack.co.uk,beauty-personal-care,skincare,llm
familyvet.uk,pets-vet,general,llm
fashionphotography.uk,web-digital,photography,llm
felines.co.uk,pets-vet,general,llm
felines.uk,pets-vet,general,llm
finetuning.uk,ai-tech,ai,llm
fire-protection.co.uk,industrial-equipment,safety,llm
fishchips.uk,food-drink,general,llm
fitted-wardrobes.co.uk,home-garden,furnishings,llm
fleetcarleasing.co.uk,automotive,leasing,llm
floatinglodges.co.uk,travel,accommodation,llm
flubbert.uk,brandable-short,pronounceable,llm
flyerdelivery.uk,web-digital,marketing,llm
foldingmachine.co.uk,industrial-equipment,machinery,llm
foldingmachine.uk,industrial-equipment,machinery,llm
foodbin.co.uk,consumer-products,household,llm
footballcommentator.co.uk,sports-leisure,general,llm
forklifthire.uk,industrial-equipment,lifting,llm
fourwheeldrive.co.uk,automotive,general,llm
freshwaterpearls.co.uk,consumer-products,jewellery-watches,llm
furnishedflats.co.uk,property,rentals,llm
gamerooms.co.uk,sports-leisure,gaming,llm
garagetools.co.uk,home-garden,tools-diy,llm
gas-stoves.co.uk,home-garden,heating-plumbing,llm
gasbarbecues.uk,home-garden,garden,llm
gasbbqs.uk,home-garden,garden,llm
gasmembranes.co.uk,industrial-equipment,materials,llm
gasrefills.co.uk,energy-utilities,gas,llm
generatorcentre.co.uk,energy-utilities,power,llm
generatorhire.uk,energy-utilities,power,llm
girlsbicycles.uk,sports-leisure,cycling,llm
golfanalysis.co.uk,sports-leisure,golf,llm
golfclubsforsale.co.uk,sports-leisure,golf,llm
golfgames.co.uk,sports-leisure,golf,llm
golfputters.co.uk,sports-leisure,golf,llm
golfsimhire.co.uk,sports-leisure,golf,llm
guitalele.co.uk,music,instruments,llm
handlinghazards.uk,industrial-equipment,safety,llm
hatcheries.co.uk,agriculture-farming,farming,llm
headwalls.co.uk,industrial-equipment,materials,llm
helperbean.co.uk,ai-tech,ai,llm
helperbean.uk,ai-tech,ai,llm
heritagegates.co.uk,home-garden,garden,llm
hgvrental.co.uk,automotive,commercial-vehicles,llm
highstakescasinos.uk,sports-leisure,betting,llm
homeclearance.uk,home-garden,services,llm
hometestkits.co.uk,health-medical,general,llm
hometestkits.uk,health-medical,general,llm
horsedna.uk,pets-vet,general,llm
hospitalequipment.uk,health-medical,equipment,llm
hospitalitybranding.co.uk,web-digital,marketing,llm
hospitalityprinting.co.uk,packaging-print,print-services,llm
hotfoilstamping.co.uk,packaging-print,print-services,llm
hydraulicbreakers.co.uk,industrial-equipment,construction-plant,llm
hydrauliclifting.co.uk,industrial-equipment,lifting,llm
identitychip.co.uk,pets-vet,general,llm
identitychip.uk,pets-vet,general,llm
identitychips.uk,pets-vet,general,llm
illustratedmaps.co.uk,web-digital,design,llm
illustrating.co.uk,web-digital,design,llm
incomeprotectioncover.co.uk,financial,insurance,llm
incomeprotectioncover.uk,financial,insurance,llm
industrialceramics.co.uk,industrial-equipment,materials,llm
industrialrefurbishment.co.uk,business-services,engineering,llm
inflatableparks.co.uk,sports-leisure,general,llm
inflatablepubhire.co.uk,events-exhibitions,hire,llm
influenceragencies.uk,web-digital,marketing,llm
inspectioncamera.uk,industrial-equipment,test-measurement,llm
inspectioncameras.co.uk,industrial-equipment,test-measurement,llm
instantwebpages.co.uk,web-digital,web,llm
instantwebpages.uk,web-digital,web,llm
intelligencetest.co.uk,education,general,llm
intelligentworkflow.co.uk,ai-tech,ai,llm
intelligentworkflow.uk,ai-tech,ai,llm
intelligentworkflows.co.uk,ai-tech,ai,llm
intelligentworkflows.uk,ai-tech,ai,llm
intumescentcoatings.co.uk,industrial-equipment,materials,llm
jethire.uk,aviation,charter,llm
jetpackreviews.co.uk,tools-comparison,general,llm
jetpackreviews.uk,tools-comparison,general,llm
jetskier.uk,sports-leisure,watersports,llm
jewellerstools.co.uk,consumer-products,art-craft,llm
jewellerstools.uk,consumer-products,art-craft,llm
katherineappleby.co.uk,names-places,personal,llm
kathyappleby.co.uk,names-places,personal,llm
keeler.uk,names-places,personal,llm
keymetrics.uk,ai-tech,software,llm
keypersoncover.co.uk,financial,insurance,llm
keypersoncover.uk,financial,insurance,llm
keywordresearch.uk,web-digital,marketing,llm
konichiwa.uk,foreign-language,japanese,llm
ladieswatches.me.uk,consumer-products,jewellery-watches,llm
lakelodges.co.uk,travel,accommodation,llm
lakeviewlodges.co.uk,travel,accommodation,llm
lameness.co.uk,pets-vet,general,llm
lameness.uk,pets-vet,general,llm
laminationfilm.co.uk,packaging-print,print-services,llm
lampshades.uk,home-garden,furnishings,llm
lando.uk,brandable-short,pronounceable,llm
landsales.uk,property,general,llm
lawnmower.org.uk,home-garden,garden,llm
learnguitar.uk,music,instruments,llm
leatherupholstery.co.uk,home-garden,furnishings,llm
legacysystem.uk,ai-tech,software,llm
lendsy.co.uk,financial,loans,llm
lendzy.co.uk,financial,loans,llm
leopardconsulting.uk,business-services,general,llm
leopardessconsulting.co.uk,business-services,general,llm
leopardessconsulting.uk,business-services,general,llm
littlehelper.uk,ai-tech,ai,llm
littlehelpers.uk,ai-tech,ai,llm
livechatservice.uk,ai-tech,software,llm
localfirst.uk,generic-word,phrase,llm
localvanhire.co.uk,automotive,commercial-vehicles,llm
longtermrentals.co.uk,property,rentals,llm
loopengineer.co.uk,ai-tech,ai,llm
loopengineer.uk,ai-tech,ai,llm
loopengineering.uk,ai-tech,ai,llm
lovebite.uk,dating,general,llm
lowrepayments.co.uk,financial,loans,llm
luggage.org.uk,travel,accessories,llm
luxuryfirst.uk,generic-word,phrase,llm
luxuryretirementcommunities.co.uk,property,luxury,llm
luxuryretirementliving.co.uk,property,luxury,llm
madonnas.co.uk,names-places,personal,llm
mallets.co.uk,home-garden,tools-diy,llm
managementemail.co.uk,ai-tech,software,llm
managementemail.uk,ai-tech,software,llm
mandrill.uk,generic-word,general,llm
manhole-cover.co.uk,industrial-equipment,materials,llm
markety.co.uk,web-digital,marketing,llm
markety.uk,web-digital,marketing,llm
meatrice.co.uk,food-drink,general,llm
meatrice.uk,food-drink,general,llm
meatyrice.co.uk,food-drink,general,llm
meatyrice.uk,food-drink,general,llm
mediaplacements.uk,web-digital,marketing,llm
medicam.co.uk,health-medical,equipment,llm
medication.me.uk,health-medical,general,llm
memegenerator.co.uk,web-digital,design,llm
mens-watch.co.uk,consumer-products,jewellery-watches,llm
menscycles.co.uk,sports-leisure,cycling,llm
mensjumpers.co.uk,consumer-products,clothing-fashion,llm
menswatches.me.uk,consumer-products,jewellery-watches,llm
metallichydrogen.co.uk,misc,general,llm
metallichydrogen.uk,misc,general,llm
mezzaninelifts.co.uk,industrial-equipment,lifting,llm
minihelper.co.uk,ai-tech,ai,llm
minihelper.uk,ai-tech,ai,llm
minihelpers.co.uk,ai-tech,ai,llm
