domain,registrar,category,subcategory,method
8qzq.com,porkbun,brandable-short,4-char,length
aadaishu.com,dynadot,foreign-language,chinese,llm
aakn.com,porkbun,brandable-short,4-char,length
accountancysites.com,dynadot,business-services,accounting,stem
acoustic-enclosures.com,porkbun,industrial-equipment,general,llm
acousticcameras.com,porkbun,industrial-equipment,test-measurement,llm
actuariel.com,dynadot,financial,insurance,llm
adcentre.org,porkbun,web-digital,marketing,llm
adjustablewalkingstick.com,porkbun,health-medical,mobility-aids,llm
adjustablewalkingsticks.com,porkbun,health-medical,mobility-aids,llm
aeroplanespares.com,porkbun,aviation,parts,llm
afficheurs.com,porkbun,consumer-products,electronics,llm
affreteur.com,porkbun,transport-parking,logistics,llm
agenciaviaje.com,porkbun,travel,general,llm
agent-chassis.com,porkbun,ai-tech,ai,token
agent-coordinator.com,porkbun,ai-tech,ai,token
agent-discovery.com,porkbun,ai-tech,ai,token
agentandhuman.com,porkbun,ai-tech,ai,stem
agentplushuman.com,porkbun,ai-tech,ai,stem
aggeggi.com,porkbun,foreign-language,italian,llm
agricultureseeds.com,dynadot,agriculture-farming,supplies,llm
ai-agent-orchestration.com,porkbun,ai-tech,ai,token
ai-as-judge.com,porkbun,ai-tech,ai,token
ai-business-audit.com,spaceship,ai-tech,ai,token
ai-business-audits.com,porkbun,ai-tech,ai,token
ai-debugging.com,porkbun,ai-tech,ai,token
ai-product-strategy.com,porkbun,ai-tech,ai,token
ai-prototyping.com,spaceship,ai-tech,ai,token
ai-site-maintenance.com,porkbun,ai-tech,ai,token
ai-web-maintenance.com,porkbun,ai-tech,ai,token
ai-website-maintenance.com,porkbun,ai-tech,ai,token
aiasjudge.com,porkbun,ai-tech,ai,llm
aicorporateaudit.com,spaceship,business-services,general,stem
aicorporateaudits.com,spaceship,business-services,general,stem
aimakefile.com,porkbun,ai-tech,software,llm
air-frier.com,spaceship,consumer-products,appliances,token
air-friers.com,spaceship,consumer-products,appliances,token
aircraft-docking.com,porkbun,aviation,ground-support,llm
aircraft-part.com,porkbun,aviation,parts,llm
airleakagetests.com,porkbun,home-garden,energy,llm
airportcollections.com,porkbun,travel,general,stem
aisitemaintenance.com,porkbun,home-garden,services,stem
aiwebmaintenance.com,porkbun,home-garden,services,stem
aiwebsitemaintenance.com,porkbun,home-garden,services,stem
aktiivinen.com,porkbun,foreign-language,finnish,llm
