domain	ns_class	http	bytes
2v.uk	CLOOK	200	2
5s.uk	STATUS_2	000	0
5un.co.uk	CLOOK	200	317
agentcoordinator.uk	CLOOK	200	1371
aiartgallery.uk	CLOOK	200	74346
antislipdecking.co.uk	STATUS_2	000	0
axles.uk	STATUS_2	000	0
backgarden.uk	STATUS_2	000	0
businesschristmasgifts.co.uk	CLOOK	200	52465
businesschristmasgifts.uk	CLOOK	200	52425
businessinsurancequotation.co.uk	CLOOK	200	79224
caravanpark.uk	STATUS_2	000	0
cartoon.co.uk	CLOOK	200	133766
catalogues.co.uk	CLOOK	200	7811
catered.uk	STATUS_2	000	0
chagford.uk	STATUS_2	000	0
colloidalsilver.uk	STATUS_2	000	0
comparehealthcare.uk	STATUS_2	000	0
conferences.co.uk	CLOOK	200	17391
consolidateloans.co.uk	STATUS_2	000	0
consolidateloans.uk	STATUS_2	000	0
countryparkhomes.co.uk	STATUS_2	000	0
ct4m.co.uk	STATUS_2	000	0
designconsultancy.co.uk	CLOOK	200	537
dsgn.co.uk	CLOOK	200	10554
eborg.uk	STATUS_2	000	0
email-account.co.uk	CLOOK	200	1371
email-account.uk	CLOOK	200	1368
emailsecurity.uk	CLOOK	200	86
equity-release-calculator.co.uk	STATUS_2	000	0
fatherchristmas.uk	CLOOK	200	25262
felines.co.uk	CLOOK	000	0
felines.uk	CLOOK	000	0
fishchips.uk	STATUS_2	000	0
fishingcharters.uk	STATUS_2	000	0
fridge-magnets.co.uk	CLOOK	200	20003
gardens.co.uk	STATUS_2	000	0
gardens.uk	STATUS_2	000	0
gardentools.uk	STATUS_2	000	0
generatorhire.uk	STATUS_2	000	0
giftfinder.uk	STATUS_2	000	0
handlinghazards.uk	STATUS_2	000	0
healthcare.uk	CLOOK	000	0
healthinsurancequotation.co.uk	STATUS_2	000	0
healthinsurancequotation.uk	STATUS_2	000	0
healthinsurancequote.uk	STATUS_2	000	0
healthinsurancerate.co.uk	STATUS_2	000	0
healthinsurancerate.uk	STATUS_2	000	0
healthinsurancerates.co.uk	STATUS_2	000	0
healthinsurancerates.uk	STATUS_2	000	0
heritage-doors.uk	STATUS_2	000	0
insurancedomain.co.uk	STATUS_2	000	0
insurely.uk	STATUS_2	000	0
interestrates.co.uk	STATUS_2	000	0
lando.uk	STATUS_2	000	0
learnguitar.uk	STATUS_2	000	0
leopardess.co.uk	CLOOK	200	6853
leopardess.uk	CLOOK	200	6853
managementemail.co.uk	CLOOK	200	0
managementemail.uk	CLOOK	200	0
minisitemaker.co.uk	CLOOK	200	79430
mintgraphics.co.uk	STATUS_2	000	0
nftagency.uk	STATUS_2	000	0
officesupplies.co.uk	STATUS_2	000	0
onlinepromotion.co.uk	STATUS_2	000	0
onlinepromotion.uk	STATUS_2	000	0
onlinestrategies.co.uk	STATUS_2	000	0
onlinestrategies.uk	STATUS_2	000	0
onpointcopy.co.uk	CLOOK	200	95
padelcourts.uk	STATUS_2	000	0
pelletburners.co.uk	CLOOK	200	25047
personae.uk	CLOOK	000	0
personalgift.co.uk	CLOOK	200	49884
rein.co.uk	STATUS_2	000	0
santaclaus.uk	CLOOK	200	25231
scales.co.uk	STATUS_2	000	0
seduce.co.uk	CLOOK	200	24767
selfassessments.co.uk	STATUS_2	000	0
selfassessments.uk	STATUS_2	000	0
snowtyres.uk	STATUS_2	000	0
soyrocks.co.uk	CLOOK	503	807
soyrocks.uk	STATUS_2	000	0
splendent.uk	STATUS_2	000	0
stampcollection.co.uk	STATUS_2	000	0
touchscreens.uk	STATUS_2	000	0
ultrasonics.uk	STATUS_2	000	0
uniquedirectory.co.uk	CLOOK	200	33863
vectordb.uk	CLOOK	200	1363
veterinary.co.uk	STATUS_2	000	0
veterinary.uk	STATUS_2	000	0
vinrose.uk	CLOOK	200	11443
webpagedesigner.co.uk	STATUS_2	000	0
webpagedesigner.uk	STATUS_2	000	0
websy.uk	CLOOK	200	52
workdomain.co.uk	CLOOK	000	0
wpx.uk	CLOOK	200	2
writesy.uk	CLOOK	200	33832
zapatos.uk	STATUS_2	000	0
