domain	class	nameservers
00.org.uk	PARKED	ns1.dan.com,ns2.dan.com
2v.uk	CLOOK	dns.uk-noc.com,dns.us-noc.com
2w.uk	PARKED	ns1.dan.com,ns2.dan.com
3dartists.co.uk	NXDOMAIN	
3dhomesales.co.uk	PARKED	ns1.dan.com,ns2.dan.com
3dviewers.co.uk	PARKED	ns1.dan.com,ns2.dan.com
4l.uk	PARKED	ns1.dan.com,ns2.dan.com
5s.uk	STATUS_2	
5un.co.uk	CLOOK	dns.uk-noc.com,dns.us-noc.com
abtesting.uk	PARKED	ns1.dan.com,ns2.dan.com
acoustic-guitar.co.uk	PARKED	ns1.aftermarket.com,ns2.aftermarket.com
activitytracker.uk	PARKED	ns1.dan.com,ns2.dan.com
adapter.uk	PARKED	ns1.dan.com,ns2.dan.com
adapting.uk	PARKED	ns1.dan.com,ns2.dan.com
adcopywriting.co.uk	PARKED	ns1.dan.com,ns2.dan.com
adrank.uk	PARKED	ns1.dan.com,ns2.dan.com
adultchristmas.co.uk	PARKED	ns1.dan.com,ns2.dan.com
adultchristmaspresents.co.uk	PARKED	ns1.dan.com,ns2.dan.com
adultxmas.co.uk	PARKED	ns1.dan.com,ns2.dan.com
adversecreditmortgage.co.uk	STATUS_2	
adversecreditmortgage.uk	PARKED	ns1.dan.com,ns2.dan.com
adversemortgage.uk	PARKED	ns1.dan.com,ns2.dan.com
advertdesign.co.uk	PARKED	ns1.dan.com,ns2.dan.com
advertise.co.uk	CLOUDFLARE	betty.ns.cloudflare.com,ivan.ns.cloudflare.com
advertisementdesign.co.uk	PARKED	ns1.dan.com,ns2.dan.com
advertisementdesign.uk	PARKED	ns1.dan.com,ns2.dan.com
advertisingagencies.co.uk	PARKED	ns1.dan.com,ns2.dan.com
advertisingdesign.uk	PARKED	ns1.dan.com,ns2.dan.com
aerialdronesurveys.co.uk	PARKED	ns1.namepros-dns.com,ns2.s832jm5f2pm9m22rh3sh3bsp.ns.namepros-dns.is
affordablehome.uk	PARKED	ns1.dan.com,ns2.dan.com
agentchoice.co.uk	NXDOMAIN	
agentchoice.uk	NXDOMAIN	
agentcoordinator.co.uk	NXDOMAIN	
agentcoordinator.uk	CLOOK	dns1.uk-noc.com,dns2.uk-noc.com
agentorchestrator.co.uk	NXDOMAIN	
agentorchestrator.uk	NXDOMAIN	
agenttower.co.uk	NXDOMAIN	
agenttower.uk	NXDOMAIN	
agentz.uk	NXDOMAIN	
agricultural-machinery.uk	NXDOMAIN	
agritec.uk	CLOUDFLARE	alexis.ns.cloudflare.com,leah.ns.cloudflare.com
ai-audit.uk	NXDOMAIN	
ai-audits.uk	NXDOMAIN	
ai-web-design.co.uk	NXDOMAIN	
ai-web-design.uk	NXDOMAIN	
ai-website-design.co.uk	NXDOMAIN	
ai-website-design.uk	NXDOMAIN	
aiartgallery.uk	CLOOK	dns1.uk-noc.com,dns2.uk-noc.com
aiaudit.uk	NXDOMAIN	
aiauditing.co.uk	NXDOMAIN	
aiauditing.uk	NXDOMAIN	
aigraphics.uk	PARKED	ns1.dan.com,ns2.dan.com
aimaintenance.uk	NXDOMAIN	
aimate.uk	NXDOMAIN	
aiproductstrategy.co.uk	NXDOMAIN	
aiproductstrategy.uk	NXDOMAIN	
aiq.uk	PARKED	ns1.dan.com,ns2.dan.com
airobot.uk	PARKED	ns1.dan.com,ns2.dan.com
aistudio.uk	NXDOMAIN	
aiteammate.co.uk	NXDOMAIN	
aiteammate.uk	NXDOMAIN	
aitwin.co.uk	NXDOMAIN	
aiworkmate.co.uk	NXDOMAIN	
aiworkmate.uk	NXDOMAIN	
akim.uk	PARKED	ns1.dan.com,ns2.dan.com
alternativeenergy.co.uk	PARKED	ns1.dan.com,ns2.dan.com
alternativepower.co.uk	PARKED	ns1.dan.com,ns2.dan.com
alternativepresents.co.uk	PARKED	ns1.dan.com,ns2.dan.com
alternativetravel.co.uk	PARKED	ns1.dan.com,ns2.dan.com
ancestryonline.co.uk	PARKED	ns1.dan.com,ns2.dan.com
anglingsupplies.uk	PARKED	ns1.dan.com,ns2.dan.com
animalcare.uk	PARKED	ns1.dan.com,ns2.dan.com
anne-marie.co.uk	PARKED	ns1.aftermarket.com,ns2.aftermarket.com
annualreports.uk	PARKED	ns1.dan.com,ns2.dan.com
ant.co.uk	PARKED	ns1.afternic.com,ns2.afternic.com
ant.uk	PARKED	ns1.afternic.com,ns2.afternic.com
antiquesdealers.co.uk	PARKED	ns1.aftermarket.com,ns2.aftermarket.com
antiquestorage.co.uk	PARKED	ns1.aftermarket.com,ns2.aftermarket.com
antislipdecking.co.uk	STATUS_2	
anttrack.co.uk	NXDOMAIN	
anttrack.uk	NXDOMAIN	
apis.uk	CLOUDFLARE	alexis.ns.cloudflare.com,leah.ns.cloudflare.com
appmusic.co.uk	NXDOMAIN	
appmusic.uk	NXDOMAIN	
arabianperfumes.co.uk	PARKED	ns1.dan.com,ns2.dan.com
architectural-glass.co.uk	PARKED	ns1.aftermarket.com,ns2.aftermarket.com
argumentmap.co.uk	PARKED	ns1.dan.com,ns2.dan.com
argumentmap.uk	PARKED	ns1.dan.com,ns2.dan.com
articlesubmission.co.uk	PARKED	ns1.dan.com,ns2.dan.com
artworker.uk	PARKED	ns1.dan.com,ns2.dan.com
artworkers.co.uk	PARKED	ns1.dan.com,ns2.dan.com
artworkers.uk	PARKED	ns1.dan.com,ns2.dan.com
attictruss.co.uk	PARKED	ns1.aftermarket.com,ns2.aftermarket.com
audiobrochure.co.uk	PARKED	ns1.dan.com,ns2.dan.com
audiocamera.co.uk	PARKED	ns1.dan.com,ns2.dan.com
audiocamera.uk	PARKED	ns1.dan.com,ns2.dan.com
audiocameras.co.uk	PARKED	ns1.dan.com,ns2.dan.com
audiocameras.uk	PARKED	ns1.dan.com,ns2.dan.com
auditai.uk	NXDOMAIN	
autoai.uk	PARKED	ns1.dan.com,ns2.dan.com
automatedtrading.uk	NXDOMAIN	
automatic-doors.co.uk	PARKED	ns1.aftermarket.com,ns2.aftermarket.com
automaticcarinsurance.co.uk	PARKED	ns1.dan.com,ns2.dan.com
automaticcarinsurance.uk	PARKED	ns1.dan.com,ns2.dan.com
automaticvans.co.uk	PARKED	ns1.aftermarket.com,ns2.aftermarket.com
autumnfashions.co.uk	PARKED	ns1.dan.com,ns2.dan.com
aviatorjacket.co.uk	PARKED	ns1.dan.com,ns2.dan.com
aviatorjacket.uk	PARKED	ns1.dan.com,ns2.dan.com
aviatorjackets.uk	PARKED	ns1.dan.com,ns2.dan.com
axles.uk	STATUS_2	
babyplaymat.uk	PARKED	ns1.dan.com,ns2.dan.com
babyplaymats.co.uk	PARKED	ns1.dan.com,ns2.dan.com
babyplaymats.uk	PARKED	ns1.dan.com,ns2.dan.com
backgarden.uk	STATUS_2	
backingtracks.uk	PARKED	ns1.dan.com,ns2.dan.com
bacteriology.co.uk	PARKED	ns1.dan.com,ns2.dan.com
bacteriology.uk	PARKED	ns1.dan.com,ns2.dan.com
bagdesign.uk	PARKED	ns1.dan.com,ns2.dan.com
bagdesigners.uk	PARKED	ns1.dan.com,ns2.dan.com
bagdesigns.uk	PARKED	ns1.dan.com,ns2.dan.com
banker.co.uk	PARKED	ns1.dan.com,ns2.dan.com
banker.uk	PARKED	ns1.dan.com,ns2.dan.com
bankingequipment.co.uk	NXDOMAIN	
bankingequipment.uk	NXDOMAIN	
bankmortgagerates.co.uk	PARKED	ns1.dan.com,ns2.dan.com
banks-rates.co.uk	PARKED	ns1.dan.com,ns2.dan.com
banksavingsrates.co.uk	PARKED	ns1.dan.com,ns2.dan.com
banksrates.co.uk	PARKED	ns1.dan.com,ns2.dan.com
banquethall.co.uk	PARKED	ns1.aftermarket.com,ns2.aftermarket.com
banquetteseating.co.uk	PARKED	ns1.aftermarket.com,ns2.aftermarket.com
basementflat.co.uk	PARKED	ns1.dan.com,ns2.dan.com
bathroomcabinet.co.uk	PARKED	ns1.aftermarket.com,ns2.aftermarket.com
beefrice.co.uk	NXDOMAIN	
bespokemortgages.uk	PARKED	ns1.dan.com,ns2.dan.com
bespokevans.co.uk	PARKED	ns1.namepros-dns.com,ns2.s832jm5f2pm9m22rh3sh3bsp.ns.namepros-dns.is
bestelectricscooter.uk	PARKED	ns1.dan.com,ns2.dan.com
bestelectricscooters.uk	PARKED	ns1.dan.com,ns2.dan.com
besthealthinsurancerate.co.uk	PARKED	ns1.dan.com,ns2.dan.com
besthealthinsurancerate.uk	PARKED	ns1.dan.com,ns2.dan.com
besthealthinsurancerates.co.uk	PARKED	ns1.dan.com,ns2.dan.com
besthealthinsurancerates.uk	PARKED	ns1.dan.com,ns2.dan.com
bestinsurancedeal.co.uk	PARKED	ns1.dan.com,ns2.dan.com
