domain,registrar,category,subcategory,tld,sld_length,expiry,ns_class,dynappraisal,dynappraisal_date,appraisal_kind,appraisal_proxy_domain,live_ask_marketplace,live_ask_price,live_ask_date,afternic_min_offer,afternic_price_source,category_comps_median,quote_with,keep_override,trademark_flag,anchor,anchor_source,confidence,quality_multiplier,quality_reasons,value_usd,tier,keen_price_usd,sale_status,ask_vs_value,floor_vs_keen
00.org.uk,nominet,brandable-short,2-char,org.uk,2,2028-04,,1565735,2026-09-04,proxy,00.com,,,,50000,min_offer,,,,,1565735,proxy-via-00.com,medium,0.16,digits -20%; org.uk x0.2,250518,A,,PREMIUM-REVIEW:short-name,,
2v.uk,nominet,brandable-short,2-char,uk,2,2027-10,,3636,2026-09-04,direct,,,,,50000,min_offer,,,owner-withdrawn,,3636,own-appraisal,high,0.80,digits -20%; direct appraisal in own TLD (no TLD factor),2909,C,,PREMIUM-REVIEW:short-name,,
2w.uk,nominet,brandable-short,2-char,uk,2,2029-10,,28262,2026-09-04,direct,,,,,50000,min_offer,,,,,28262,own-appraisal,high,0.80,digits -20%; direct appraisal in own TLD (no TLD factor),22610,A,,PREMIUM-REVIEW:short-name,,
3dartists.co.uk,nominet,web-digital,design,co.uk,9,2028-11,,,,,,,,,,,,,,,3255,subcategory-median,medium,0.68,digits -20%; co.uk x0.85,2213,C,1150,tbd,,
3dhomesales.co.uk,nominet,property,general,co.uk,11,2027-01,,,,,,,,,10000,min_offer,,,,,1504,subcategory-median,medium,0.68,digits -20%; co.uk x0.85,1023,D,475,tbd,,21.1
3dviewers.co.uk,nominet,ai-tech,software,co.uk,9,2027-01,,,,,,,,,50000,min_offer,,,,,1808,category-median,low,0.68,digits -20%; co.uk x0.85,1230,C,650,tbd,,76.9
4l.uk,nominet,brandable-short,2-char,uk,2,2029-10,,1513,2026-09-04,direct,,,,,20000,min_offer,,,,,1513,own-appraisal,high,0.80,digits -20%; direct appraisal in own TLD (no TLD factor),1210,C,,PREMIUM-REVIEW:short-name,,
5s.uk,nominet,brandable-short,2-char,uk,2,2029-10,,2118,2026-09-04,direct,,,,,,,,,,,2118,own-appraisal,high,0.80,digits -20%; direct appraisal in own TLD (no TLD factor),1694,C,,PREMIUM-REVIEW:short-name,,
5un.co.uk,nominet,brandable-short,3-char,co.uk,3,2028-05,,11443,2026-09-04,proxy,5un.com,,,,,,,,live-site,,11443,proxy-via-5un.com,medium,0.68,digits -20%; co.uk x0.85,7781,B,,PREMIUM-REVIEW:short-name,,
8qzq.com,porkbun,brandable-short,4-char,com,4,2027-01-07,afternic,,,,,,,,50000,min_offer,,,,,4140,category-median,low,0.96,short .com +20%; digits -20%,3974,B,2250,tbd,,22.2
aadaishu.com,dynadot,foreign-language,chinese,com,8,2027-07-02,afternic,1127,2026-09-02,direct,,afternic,4999,2026-09-03,,buy_now,,,,,1127,own-appraisal,high,0.75,thin-demand category -25%; direct appraisal in own TLD (no TLD factor),845,D,400,tbd,5.9,
aakn.com,porkbun,brandable-short,4-char,com,4,2027-07-20,afternic,4554,2026-09-03,direct,,,,,10000,min_offer,,,,,4554,own-appraisal,high,1.20,short .com +20%; direct appraisal in own TLD (no TLD factor),5465,B,,PREMIUM-REVIEW:4-letter-com,,
abtesting.uk,nominet,web-digital,marketing,uk,9,2028-10,,,,,,,,,,,,,,,1482,subcategory-median,medium,0.21,uk x0.21,311,E,200,tbd,,
accountancysites.com,dynadot,business-services,accounting,com,16,2026-10-15,afternic,431,2026-09-02,direct,,,,,10000,min_offer,,,,,431,own-appraisal,high,1.00,direct appraisal in own TLD (no TLD factor),431,E,200,tbd,,50.0
acomedido.com,spaceship,foreign-language,spanish,com,9,2027-08-27,other,,,,,,,,,,,,,,3342,subcategory-median,medium,0.75,thin-demand category -25%,2506,C,1300,tbd,,
acoustic-enclosures.com,porkbun,industrial-equipment,general,com,19,2027-10-11,afternic,,,,,,,,,,,,,,2066,subcategory-median,medium,0.75,hyphen -25%,1549,C,800,tbd,,
acoustic-guitar.co.uk,nominet,music,instruments,co.uk,15,2028-04,,,,,,,,,,,,,,,3689,subcategory-median,medium,0.64,hyphen -25%; co.uk x0.85,2352,C,1200,tbd,,
acousticcameras.com,porkbun,industrial-equipment,test-measurement,com,15,2028-08-09,afternic,,,,,,,,50000,min_offer,,,,,2066,category-median,low,1.00,,2066,C,1050,tbd,,47.6
activitytracker.uk,nominet,consumer-products,electronics,uk,15,2028-10,,,,,,,,,,,,,,,3013,subcategory-median,medium,0.21,uk x0.21,633,D,300,tbd,,
actuariel.com,dynadot,financial,insurance,com,9,2027-09-08,afternic,1170,2026-09-02,direct,,,,,12000,min_offer,,,,,1170,own-appraisal,high,1.00,direct appraisal in own TLD (no TLD factor),1170,D,,KEEP:network-financial,,
adapter.uk,nominet,consumer-products,electronics,uk,7,2028-12,,9521,2026-09-04,direct,,,,,,,,,,,9521,own-appraisal,high,1.00,direct appraisal in own TLD (no TLD factor),9521,B,,PREMIUM-REVIEW:single-word,,
adapting.uk,nominet,generic-word,general,uk,8,2028-04,,8138,2026-09-04,direct,,,,,10000,min_offer,,,,,8138,own-appraisal,high,1.00,direct appraisal in own TLD (no TLD factor),8138,B,,PREMIUM-REVIEW:single-word,,
adcentre.org,porkbun,web-digital,marketing,org,8,2027-07-07,afternic,,,,,,,,30000,min_offer,,,,,1482,subcategory-median,medium,0.55,org x0.55,815,D,375,tbd,,80.0
adcopywriting.co.uk,nominet,web-digital,content,co.uk,13,2028-12,,,,,,,,,,,,,,,2657,category-median,low,0.85,co.uk x0.85,2258,C,1150,tbd,,
adjustablewalkingstick.com,porkbun,health-medical,mobility-aids,com,22,2026-11-30,afternic,,,,,,,,10000,min_offer,,,,,598,category-median,low,0.80,very long -20%,478,E,200,tbd,,50.0
adjustablewalkingsticks.com,porkbun,health-medical,mobility-aids,com,23,2026-11-30,afternic,,,,,,,,10000,min_offer,,,,,598,category-median,low,0.80,very long -20%,478,E,200,tbd,,50.0
adrank.uk,nominet,web-digital,marketing,uk,6,2028-11,,,,,,,,,,,,,,,1482,subcategory-median,medium,0.21,uk x0.21,311,E,200,tbd,,
adultchristmas.co.uk,nominet,consumer-products,gifts,co.uk,14,2027-10,,,,,,,,,50000,min_offer,,,,,4375,subcategory-median,medium,0.85,co.uk x0.85,3719,B,2250,tbd,,22.2
adultchristmaspresents.co.uk,nominet,consumer-products,gifts,co.uk,22,2028-10,,,,,,,,,50000,min_offer,,,,,4375,subcategory-median,medium,0.68,very long -20%; co.uk x0.85,2975,C,1500,tbd,,33.3
adultxmas.co.uk,nominet,consumer-products,gifts,co.uk,9,2028-10,,,,,,,,,10000,min_offer,,,,,4375,subcategory-median,medium,0.85,co.uk x0.85,3719,B,2250,tbd,,4.4
adversecreditmortgage.co.uk,nominet,financial,mortgages,co.uk,21,2028-12,,,,,,,,,10000,min_offer,2500,,live-site,,2526,portfolio-median,very-low,0.85,co.uk x0.85,2148,C,,KEEP:network-financial,,
adversecreditmortgage.uk,nominet,financial,mortgages,uk,21,2028-12,,,,,,,,,10000,min_offer,2500,,,,2526,portfolio-median,very-low,0.21,uk x0.21,531,D,,KEEP:network-financial,,
adversemortgage.uk,nominet,financial,mortgages,uk,15,2028-11,,,,,,,,,,,2000,,,,2526,portfolio-median,very-low,0.21,uk x0.21,531,D,,KEEP:network-financial,,
advertdesign.co.uk,nominet,web-digital,design,co.uk,12,2028-10,,,,,,,,,10000,min_offer,1500,,,,3255,subcategory-median,medium,0.85,co.uk x0.85,2767,C,1400,tbd,,7.1
advertise.co.uk,nominet,web-digital,marketing,co.uk,9,2029-08,,146663,2026-09-04,proxy,advertise.com,,,,800000,min_offer,,,live-site,,146663,proxy-via-advertise.com,not-estimable,0.85,co.uk x0.85,124664,A,,PREMIUM-REVIEW:single-word,,
advertisementdesign.co.uk,nominet,web-digital,marketing,co.uk,19,2028-10,,,,,,,,,10000,min_offer,1500,,,,1482,subcategory-median,medium,0.85,co.uk x0.85,1260,C,650,tbd,,15.4
advertisementdesign.uk,nominet,web-digital,marketing,uk,19,2028-10,,,,,,,,,10000,min_offer,1500,,,,1482,subcategory-median,medium,0.21,uk x0.21,311,E,200,tbd,,50.0
advertisingagencies.co.uk,nominet,web-digital,marketing,co.uk,19,2027-01,,,,,,,,,10000,min_offer,,,,,1482,subcategory-median,medium,0.85,co.uk x0.85,1260,C,650,tbd,,15.4
advertisingdesign.uk,nominet,web-digital,marketing,uk,17,2028-10,,,,,,,,,,,1500,,,,1482,subcategory-median,medium,0.21,uk x0.21,311,E,200,tbd,,
aerialdronesurveys.co.uk,nominet,property,surveys,co.uk,18,2027-04,,,,,,,,,,,,,,,1590,category-median,low,0.85,co.uk x0.85,1352,C,700,tbd,,
aeroplanespares.com,porkbun,aviation,parts,com,15,2026-11-05,afternic,,,,,,,,10000,min_offer,,,,,2526,portfolio-median,very-low,1.00,,2526,C,1300,tbd,,7.7
