domain,registrar,category,subcategory,tld,sld_length,expiry,ns_class,dynappraisal,dynappraisal_date,appraisal_kind,appraisal_proxy_domain,live_ask_marketplace,live_ask_price,live_ask_date,afternic_min_offer,afternic_price_source,category_comps_median,keep_override,trademark_flag
00.org.uk,nominet,brandable-short,2-char,org.uk,2,2028-04,,,,,,,,,50000,min_offer,,,
2v.uk,nominet,brandable-short,2-char,uk,2,2027-10,,,,,,,,,50000,min_offer,,,
2w.uk,nominet,brandable-short,2-char,uk,2,2029-10,,,,,,,,,50000,min_offer,,,
3dartists.co.uk,nominet,web-digital,design,co.uk,9,2028-11,,,,,,,,,,,,,
3dhomesales.co.uk,nominet,property,general,co.uk,11,2027-01,,,,,,,,,10000,min_offer,,,
3dviewers.co.uk,nominet,ai-tech,software,co.uk,9,2027-01,,,,,,,,,50000,min_offer,,,
4l.uk,nominet,brandable-short,2-char,uk,2,2029-10,,,,,,,,,20000,min_offer,,,
5s.uk,nominet,brandable-short,2-char,uk,2,2029-10,,,,,,,,,,,,,
5un.co.uk,nominet,brandable-short,3-char,co.uk,3,2028-05,,,,,,,,,,,,,
8qzq.com,porkbun,brandable-short,4-char,com,4,2027-01-07,afternic,,,,,,,,50000,min_offer,,,
aadaishu.com,dynadot,foreign-language,chinese,com,8,2027-07-02,afternic,1127,2026-09-02,direct,,afternic,4999,2026-09-03,,buy_now,,,
aakn.com,porkbun,brandable-short,4-char,com,4,2027-07-20,afternic,4554,2026-09-03,direct,,,,,10000,min_offer,,,
abtesting.uk,nominet,web-digital,marketing,uk,9,2028-10,,,,,,,,,,,,,
accountancysites.com,dynadot,business-services,accounting,com,16,2026-10-15,afternic,431,2026-09-02,direct,,,,,10000,min_offer,,,
acoustic-enclosures.com,porkbun,industrial-equipment,general,com,19,2027-10-11,afternic,,,,,,,,,,,,
acoustic-guitar.co.uk,nominet,music,instruments,co.uk,15,2028-04,,,,,,,,,,,,,
acousticcameras.com,porkbun,industrial-equipment,test-measurement,com,15,2028-08-09,afternic,,,,,,,,50000,min_offer,,,
activitytracker.uk,nominet,consumer-products,electronics,uk,15,2028-10,,,,,,,,,,,,,
actuariel.com,dynadot,financial,insurance,com,9,2027-09-08,afternic,1170,2026-09-02,direct,,,,,12000,min_offer,,,
adapter.uk,nominet,consumer-products,electronics,uk,7,2028-12,,,,,,,,,,,,,
adapting.uk,nominet,generic-word,general,uk,8,2028-04,,,,,,,,,10000,min_offer,,,
adcentre.org,porkbun,web-digital,marketing,org,8,2027-07-07,afternic,,,,,,,,30000,min_offer,,,
adcopywriting.co.uk,nominet,web-digital,content,co.uk,13,2028-12,,,,,,,,,,,,,
adjustablewalkingstick.com,porkbun,health-medical,mobility-aids,com,22,2026-11-30,afternic,,,,,,,,10000,min_offer,,,
adjustablewalkingsticks.com,porkbun,health-medical,mobility-aids,com,23,2026-11-30,afternic,,,,,,,,10000,min_offer,,,
adrank.uk,nominet,web-digital,marketing,uk,6,2028-11,,,,,,,,,,,,,
adultchristmas.co.uk,nominet,consumer-products,gifts,co.uk,14,2027-10,,,,,,,,,50000,min_offer,,,
adultchristmaspresents.co.uk,nominet,consumer-products,gifts,co.uk,22,2028-10,,,,,,,,,50000,min_offer,,,
adultxmas.co.uk,nominet,consumer-products,gifts,co.uk,9,2028-10,,,,,,,,,10000,min_offer,,,
adversecreditmortgage.co.uk,nominet,financial,mortgages,co.uk,21,2028-12,,,,,,,,,10000,min_offer,2500,,
adversecreditmortgage.uk,nominet,financial,mortgages,uk,21,2028-12,,,,,,,,,10000,min_offer,2500,,
adversemortgage.uk,nominet,financial,mortgages,uk,15,2028-11,,,,,,,,,,,2000,,
advertdesign.co.uk,nominet,web-digital,design,co.uk,12,2028-10,,,,,,,,,10000,min_offer,1500,,
advertise.co.uk,nominet,web-digital,marketing,co.uk,9,2029-08,,,,,,,,,800000,min_offer,,,
advertisementdesign.co.uk,nominet,web-digital,marketing,co.uk,19,2028-10,,,,,,,,,10000,min_offer,1500,,
advertisementdesign.uk,nominet,web-digital,marketing,uk,19,2028-10,,,,,,,,,10000,min_offer,1500,,
advertisingagencies.co.uk,nominet,web-digital,marketing,co.uk,19,2027-01,,,,,,,,,10000,min_offer,,,
advertisingdesign.uk,nominet,web-digital,marketing,uk,17,2028-10,,,,,,,,,,,1500,,
aerialdronesurveys.co.uk,nominet,property,surveys,co.uk,18,2027-04,,,,,,,,,,,,,
aeroplanespares.com,porkbun,aviation,parts,com,15,2026-11-05,afternic,,,,,,,,10000,min_offer,,,
afficheurs.com,porkbun,consumer-products,electronics,com,10,2027-08-14,afternic,,,,,,,,10000,min_offer,,,
affordablehome.uk,nominet,property,general,uk,14,2028-10,,,,,,,,,,,,,
affreteur.com,porkbun,transport-parking,logistics,com,9,2027-09-14,afternic,,,,,,,,10000,min_offer,,,
agenciaviaje.com,porkbun,travel,general,com,12,2027-08-18,afternic,,,,,,,,10000,min_offer,,,
agent-chassis.com,porkbun,ai-tech,ai,com,13,2027-06-11,other,,,,,,,,,,2699,,
agent-coordinator.com,porkbun,ai-tech,ai,com,17,2027-05-23,afternic,,,,,,,,10000,min_offer,2699,,
agent-discovery.com,porkbun,ai-tech,ai,com,15,2028-04-19,afternic,,,,,,,,10000,min_offer,2699,,
agentandhuman.com,porkbun,ai-tech,ai,com,13,2027-09-17,afternic,,,,,,,,10000,min_offer,2699,,
agentchoice.co.uk,nominet,ai-tech,ai,co.uk,11,2027-05,,,,,,,,,,,2699,,
agentchoice.uk,nominet,ai-tech,ai,uk,11,2028-05,,,,,,,,,,,2699,,
agentcoordinator.co.uk,nominet,ai-tech,ai,co.uk,16,2028-05,,,,,,,,,,,2699,,
agentcoordinator.uk,nominet,ai-tech,ai,uk,16,2028-05,,,,,,,,,,,2699,,
agentorchestrator.co.uk,nominet,ai-tech,ai,co.uk,17,2028-05,,,,,,,,,,,2699,,
agentorchestrator.uk,nominet,ai-tech,ai,uk,17,2028-05,,,,,,,,,,,2699,,
agentplushuman.com,porkbun,ai-tech,ai,com,14,2027-08-21,afternic,,,,,,,,10000,min_offer,2699,,
agenttower.co.uk,nominet,ai-tech,ai,co.uk,10,2028-05,,,,,,,,,,,2699,,
agenttower.uk,nominet,ai-tech,ai,uk,10,2028-05,,,,,,,,,,,2699,,
agentz.uk,nominet,ai-tech,ai,uk,6,2028-03,,,,,,,,,,,2699,,
aggeggi.com,porkbun,foreign-language,italian,com,7,2028-06-02,afternic,,,,,,,,10000,min_offer,,,
agricultural-machinery.uk,nominet,agriculture-farming,equipment,uk,22,2027-05,,,,,,,,,,,,,
agricultureseeds.com,dynadot,agriculture-farming,supplies,com,16,2027-01-31,afternic,5351,2026-09-02,direct,,,,,,,,,
agritec.uk,nominet,agriculture-farming,equipment,uk,7,2028-10,,,,,,,,,10000,min_offer,,,
ai-agent-orchestration.com,porkbun,ai-tech,ai,com,22,2026-11-01,cloudflare,,,,,,,,10000,min_offer,2699,live-site,
ai-as-judge.com,porkbun,ai-tech,ai,com,11,2027-06-24,other,,,,,,,,,,,,
ai-audit.uk,nominet,ai-tech,ai,uk,8,2028-06,,,,,,,,,,,2495,,
ai-audits.uk,nominet,ai-tech,ai,uk,9,2028-06,,,,,,,,,,,2495,,
ai-business-audit.com,spaceship,ai-tech,ai,com,17,2027-06-10,afternic,,,,,,,,,,2495,,
ai-business-audits.com,porkbun,ai-tech,ai,com,18,2027-06-10,afternic,,,,,,,,10000,min_offer,2495,,
ai-debugging.com,porkbun,ai-tech,ai,com,12,2027-06-24,other,,,,,,,,,,,,
ai-product-strategy.com,porkbun,ai-tech,ai,com,19,2027-09-21,afternic,,,,,,,,10000,min_offer,,,
ai-prototyping.com,spaceship,ai-tech,ai,com,14,2027-06-10,afternic,,,,,,,,,,,,
ai-site-maintenance.com,porkbun,ai-tech,ai,com,19,2026-11-30,afternic,,,,,,,,10000,min_offer,,,
ai-web-design.co.uk,nominet,ai-tech,ai,co.uk,13,2028-06,,,,,,,,,,,1500,,
ai-web-design.uk,nominet,ai-tech,ai,uk,13,2028-06,,,,,,,,,,,1500,,
