domain,known_twin,known_value
financial-adviser.com,financial-adviser.uk,633
ant.com,ant.uk,23144
bacteriology.com,bacteriology.uk,709
calculation.com,calculation.uk,6689
catered.com,catered.uk,3309
crackers.com,crackers.uk,7111
decompress.com,decompress.uk,1108
design.com,design.uk,23558
free.com,free.uk,67926
healthcare.com,healthcare.uk,18193
greatgiftsforcats.uk,greatgiftsforcats.com,412
modularaiagents.uk,modularaiagents.com,1225
fixedtermloans.uk,fixedtermloans.com,1904
geldinvestieren.uk,geldinvestieren.com,5630
refueller.uk,refueller.com,24381
