domain,price,currency,status,price_source
00.org.uk,50000,USD-assumed,Listed,min_offer
2v.uk,50000,USD-assumed,Listed,min_offer
2w.uk,50000,USD-assumed,Listed,min_offer
3dhomesales.co.uk,10000,USD-assumed,Listed,min_offer
3dviewers.co.uk,50000,USD-assumed,Listed,min_offer
4l.uk,20000,USD-assumed,Listed,min_offer
8qzq.com,50000,USD-assumed,Listed,min_offer
aadaishu.com,4999,USD-assumed,Listed,buy_now
aakn.com,10000,USD-assumed,Listed,min_offer
accountancysites.com,10000,USD-assumed,Listed,min_offer
acousticcameras.com,50000,USD-assumed,Listed,min_offer
actuariel.com,12000,USD-assumed,Listed,min_offer
adapting.uk,10000,USD-assumed,Listed,min_offer
adcentre.org,30000,USD-assumed,Listed,min_offer
adjustablewalkingstick.com,10000,USD-assumed,Listed,min_offer
adjustablewalkingsticks.com,10000,USD-assumed,Listed,min_offer
adultchristmas.co.uk,50000,USD-assumed,Listed,min_offer
adultchristmaspresents.co.uk,50000,USD-assumed,Listed,min_offer
adultxmas.co.uk,10000,USD-assumed,Listed,min_offer
adversecreditmortgage.co.uk,10000,USD-assumed,Listed,min_offer
adversecreditmortgage.uk,10000,USD-assumed,Listed,min_offer
advertdesign.co.uk,10000,USD-assumed,Listed,min_offer
advertise.co.uk,800000,USD-assumed,Listed,min_offer
advertisementdesign.co.uk,10000,USD-assumed,Listed,min_offer
advertisementdesign.uk,10000,USD-assumed,Listed,min_offer
advertisingagencies.co.uk,10000,USD-assumed,Listed,min_offer
aeroplanespares.com,10000,USD-assumed,Listed,min_offer
afficheurs.com,10000,USD-assumed,Listed,min_offer
affreteur.com,10000,USD-assumed,Listed,min_offer
agenciaviaje.com,10000,USD-assumed,Listed,min_offer
agent-coordinator.com,10000,USD-assumed,Listed,min_offer
agent-discovery.com,10000,USD-assumed,Listed,min_offer
agentandhuman.com,10000,USD-assumed,Listed,min_offer
agentplushuman.com,10000,USD-assumed,Listed,min_offer
aggeggi.com,10000,USD-assumed,Listed,min_offer
agritec.uk,10000,USD-assumed,Listed,min_offer
ai-agent-orchestration.com,10000,USD-assumed,Listed,min_offer
ai-business-audits.com,10000,USD-assumed,Listed,min_offer
ai-product-strategy.com,10000,USD-assumed,Listed,min_offer
ai-site-maintenance.com,10000,USD-assumed,Listed,min_offer
ai-web-maintenance.com,10000,USD-assumed,Listed,min_offer
ai-website-maintenance.com,10000,USD-assumed,Listed,min_offer
aimakefile.com,10000,USD-assumed,Listed,min_offer
aiq.uk,50000,USD-assumed,Listed,min_offer
aircraft-docking.com,10000,USD-assumed,Listed,min_offer
aircraft-part.com,10000,USD-assumed,Listed,min_offer
airleakagetests.com,10000,USD-assumed,Listed,min_offer
airportcollections.com,50000,USD-assumed,Listed,min_offer
aisitemaintenance.com,10000,USD-assumed,Listed,min_offer
aiwebmaintenance.com,10000,USD-assumed,Listed,min_offer
aiwebsitemaintenance.com,10000,USD-assumed,Listed,min_offer
aktiivinen.com,10000,USD-assumed,Listed,min_offer
al-jebr.com,50000,USD-assumed,Listed,min_offer
allesreiniger.com,10000,USD-assumed,Listed,min_offer
alquilados.com,4950,USD-assumed,Listed,buy_now
alquilermarbella.com,10000,USD-assumed,Listed,min_offer
altergasthof.com,10000,USD-assumed,Listed,min_offer
alternativeenergy.co.uk,50000,USD-assumed,Listed,min_offer
alternativepower.co.uk,50000,USD-assumed,Listed,min_offer
alternativetravel.co.uk,50000,USD-assumed,Listed,min_offer
aluminium-door.com,10000,USD-assumed,Listed,min_offer
aluminium-gates.com,10000,USD-assumed,Listed,min_offer
aluminiumcanes.com,10000,USD-assumed,Listed,min_offer
aluminiumdeuren.com,10000,USD-assumed,Listed,min_offer
aluminiumwalkingsticks.com,10000,USD-assumed,Listed,min_offer
analyticscentral.com,10000,USD-assumed,Listed,min_offer
anatinae.com,10000,USD-assumed,Listed,min_offer
ancestryonline.co.uk,50000,USD-assumed,Listed,min_offer
animalcleaner.com,10000,USD-assumed,Listed,min_offer
antywir.com,10000,USD-assumed,Listed,min_offer
apartmentsloans.com,10000,USD-assumed,Listed,min_offer
apetlon.com,10000,USD-assumed,Listed,min_offer
apis.uk,50000,USD-assumed,Listed,min_offer
appareilsmenagers.com,10000,USD-assumed,Listed,min_offer
applejuicers.com,10000,USD-assumed,Listed,min_offer
applesorter.com,25000,USD-assumed,Listed,buy_now
aprj.com,25000,USD-assumed,Listed,buy_now
aproximar.com,10000,USD-assumed,Listed,min_offer
arabianperfumes.co.uk,50000,USD-assumed,Listed,min_offer
articlesubmission.co.uk,10000,USD-assumed,Listed,min_offer
articulas.com,10000,USD-assumed,Listed,min_offer
artisan-cheese.com,10000,USD-assumed,Listed,min_offer
artisan-cheeses.com,10000,USD-assumed,Listed,min_offer
artworker.uk,10000,USD-assumed,Listed,min_offer
artworkers.co.uk,50000,USD-assumed,Listed,min_offer
artworkers.uk,10000,USD-assumed,Listed,min_offer
asegurandovida.com,10000,USD-assumed,Listed,min_offer
athomeworkout.com,10000,USD-assumed,Listed,min_offer
auberginen.com,10000,USD-assumed,Listed,min_offer
australiavilla.com,4999,USD-assumed,Listed,buy_now
autoai.uk,50000,USD-assumed,Listed,min_offer
autoinsurancechoices.com,10000,USD-assumed,Listed,min_offer
autoinsurancelead.com,10000,USD-assumed,Listed,min_offer
automate-website.com,10000,USD-assumed,Listed,min_offer
automatedcleaning.com,10000,USD-assumed,Listed,min_offer
automatedtrading.uk,50000,USD-assumed,Listed,min_offer
automatic-website.com,10000,USD-assumed,Listed,min_offer
automaticcarinsurance.co.uk,50000,USD-assumed,Listed,min_offer
automaticcarinsurance.uk,10000,USD-assumed,Listed,min_offer
automotive-lighting.com,10000,USD-assumed,Listed,min_offer
autopilotas.com,10000,USD-assumed,Listed,min_offer
autoverkehr.com,10000,USD-assumed,Listed,min_offer
autumnfashions.co.uk,10000,USD-assumed,Listed,min_offer
avenueprivee.com,12000,USD-assumed,Listed,min_offer
averyvet.com,10000,USD-assumed,Listed,min_offer
aviatorjacket.co.uk,50000,USD-assumed,Listed,min_offer
aviatorjacket.uk,10000,USD-assumed,Listed,min_offer
aviatorjackets.uk,10000,USD-assumed,Listed,min_offer
bacteriology.co.uk,50000,USD-assumed,Listed,min_offer
bacteriology.uk,10000,USD-assumed,Listed,min_offer
badrumsmatta.com,10000,USD-assumed,Listed,min_offer
badskor.com,10000,USD-assumed,Listed,min_offer
bagdesigners.uk,10000,USD-assumed,Listed,min_offer
bagdesigns.uk,10000,USD-assumed,Listed,min_offer
bakkertjes.com,20000,USD-assumed,Listed,min_offer
bancaras.com,10000,USD-assumed,Listed,min_offer
banker.co.uk,200000,USD-assumed,Listed,min_offer
banker.uk,120000,USD-assumed,Listed,min_offer
bankmortgagerates.co.uk,10000,USD-assumed,Listed,min_offer
banksavingsrates.com,30000,USD-assumed,Listed,min_offer
bankssavingsrates.com,30000,USD-assumed,Listed,min_offer
banneradscreator.com,10000,USD-assumed,Listed,min_offer
bargaingadgets.com,4999,USD-assumed,Listed,buy_now
barriogotico.com,10000,USD-assumed,Listed,min_offer
barwagen.com,10000,USD-assumed,Listed,min_offer
basementflat.co.uk,10000,USD-assumed,Listed,min_offer
beadblasters.com,10000,USD-assumed,Listed,min_offer
beekar.com,4999,USD-assumed,Listed,buy_now
beerspoilage.com,10000,USD-assumed,Listed,min_offer
bespokemortgages.uk,50000,USD-assumed,Listed,min_offer
besthealthinsurancerates.uk,10000,USD-assumed,Listed,min_offer
bestinsurancedeal.co.uk,10000,USD-assumed,Listed,min_offer
bestinsurancedeal.uk,10000,USD-assumed,Listed,min_offer
bestinsurancedeals.co.uk,10000,USD-assumed,Listed,min_offer
bestinsurancedeals.uk,30000,USD-assumed,Listed,min_offer
bestinsurancequote.uk,30000,USD-assumed,Listed,min_offer
bestinsurancequotes.uk,10000,USD-assumed,Listed,min_offer
bestinsurancerate.co.uk,30000,USD-assumed,Listed,min_offer
bestinsurancerate.uk,10000,USD-assumed,Listed,min_offer
bestinsurancerates.co.uk,30000,USD-assumed,Listed,min_offer
bestinsurancerates.uk,30000,USD-assumed,Listed,min_offer
bestlandlordinsurancerate.co.uk,30000,USD-assumed,Listed,min_offer
bicicletasplegables.com,10000,USD-assumed,Listed,min_offer
bicycleholders.com,10000,USD-assumed,Listed,min_offer
bigdata.org.uk,50000,USD-assumed,Listed,min_offer
bigdomains.uk,10000,USD-assumed,Listed,min_offer
bigotime.com,10000,USD-assumed,Listed,min_offer
bigxmas.co.uk,10000,USD-assumed,Listed,min_offer
bikecables.com,10000,USD-assumed,Listed,min_offer
bin-lorries.com,10000,USD-assumed,Listed,min_offer
binlorries.com,10000,USD-assumed,Listed,min_offer
biphene.com,30000,USD-assumed,Listed,min_offer
bitesizejewelry.com,10000,USD-assumed,Listed,min_offer
bleusaphir.com,10000,USD-assumed,Listed,floor
bleute.com,10000,USD-assumed,Listed,min_offer
boatrepairs.co.uk,50000,USD-assumed,Listed,min_offer
bodybeautiful.uk,50000,USD-assumed,Listed,min_offer
bodybeauty.uk,10000,USD-assumed,Listed,min_offer
bodycream.co.uk,50000,USD-assumed,Listed,min_offer
bodylotions.co.uk,50000,USD-assumed,Listed,min_offer
bodymassindex.uk,50000,USD-assumed,Listed,min_offer
boiler-installation.com,10000,USD-assumed,Listed,min_offer
boiler-part.com,10000,USD-assumed,Listed,min_offer
boiler-spare.com,10000,USD-assumed,Listed,min_offer
boiler-spares.com,10000,USD-assumed,Listed,min_offer
boilerpart.com,10000,USD-assumed,Listed,min_offer
book-air-taxi.com,10000,USD-assumed,Listed,min_offer
boreholesubmersibles.com,10000,USD-assumed,Listed,min_offer
botdesign.co.uk,50000,USD-assumed,Listed,min_offer
botdesign.uk,10000,USD-assumed,Listed,min_offer
boxing-tickets.com,10000,USD-assumed,Listed,min_offer
boxingonline.com,10000,USD-assumed,Listed,min_offer
