priority,domain,proxy_domain,category,proxy_kind
1,adversecreditmortgage.co.uk,adversecreditmortgage.com,financial,proxy
2,automaticcarinsurance.co.uk,automaticcarinsurance.com,financial,proxy
3,banker.co.uk,banker.com,financial,proxy
4,bankmortgagerates.co.uk,bankmortgagerates.com,financial,proxy
5,bestinsurancedeal.co.uk,bestinsurancedeal.com,financial,proxy
6,bestinsurancedeals.co.uk,bestinsurancedeals.com,financial,proxy
7,bestinsurancerate.co.uk,bestinsurancerate.com,financial,proxy
8,bestinsurancerates.co.uk,bestinsurancerates.com,financial,proxy
9,bestlandlordinsurancerate.co.uk,bestlandlordinsurancerate.com,financial,proxy
10,business-lenders.co.uk,business-lenders.com,financial,proxy
11,businessinsurancequotation.co.uk,businessinsurancequotation.com,financial,proxy
12,carinsured.co.uk,carinsured.com,financial,proxy
13,comparefamilyhealthinsurance.co.uk,comparefamilyhealthinsurance.com,financial,proxy
14,competitiverates.co.uk,competitiverates.com,financial,proxy
15,consolidatemortgage.co.uk,consolidatemortgage.com,financial,proxy
16,dividends.co.uk,dividends.com,financial,proxy
17,familyhealthinsurancequote.co.uk,familyhealthinsurancequote.com,financial,proxy
18,finance.org.uk,finance.com,financial,proxy
19,fixedinterestmortgagerates.co.uk,fixedinterestmortgagerates.com,financial,proxy
20,fixedmortgagerates.co.uk,fixedmortgagerates.com,financial,proxy
21,fleetfinancing.co.uk,fleetfinancing.com,financial,proxy
22,goldmines.co.uk,goldmines.com,financial,proxy
23,healthinsurancedeal.co.uk,healthinsurancedeal.com,financial,proxy
24,healthinsurancerate.co.uk,healthinsurancerate.com,financial,proxy
25,healthinsurancerates.co.uk,healthinsurancerates.com,financial,proxy
26,highestinterest.co.uk,highestinterest.com,financial,proxy
27,highestrate.co.uk,highestrate.com,financial,proxy
28,highestsavingsrate.co.uk,highestsavingsrate.com,financial,proxy
29,incapacitation.co.uk,incapacitation.com,financial,proxy
30,indemnitycover.co.uk,indemnitycover.com,financial,proxy
31,insurancedomain.co.uk,insurancedomain.com,financial,proxy
32,interestrates.co.uk,interestrates.com,financial,proxy
33,investmentsapp.co.uk,investmentsapp.com,financial,proxy
34,jobinfinance.co.uk,jobinfinance.com,financial,proxy
35,landlordinsurancedeal.co.uk,landlordinsurancedeal.com,financial,proxy
36,landlordinsurancedeals.co.uk,landlordinsurancedeals.com,financial,proxy
