priority,domain,category,subcategory,reason
1,adversecreditmortgage.co.uk,financial,mortgages,KEEP:network-financial
2,adversecreditmortgage.uk,financial,mortgages,KEEP:network-financial
3,adversemortgage.uk,financial,mortgages,KEEP:network-financial
4,agritec.uk,agriculture-farming,equipment,KEEP:live-site
5,ai-agent-orchestration.com,ai-tech,ai,KEEP:live-site
6,apis.uk,ai-tech,software,KEEP:live-site
7,automaticcarinsurance.co.uk,financial,insurance,KEEP:network-financial
8,automaticcarinsurance.uk,financial,insurance,KEEP:network-financial
9,bankingequipment.co.uk,financial,banking-savings,KEEP:network-financial
10,bankingequipment.uk,financial,banking-savings,KEEP:network-financial
11,bankmortgagerates.co.uk,financial,mortgages,KEEP:network-financial
12,banks-rates.co.uk,financial,banking-savings,KEEP:network-financial
13,banksavingsrates.co.uk,financial,banking-savings,KEEP:network-financial
14,banksrates.co.uk,financial,banking-savings,KEEP:network-financial
15,bespokemortgages.uk,financial,mortgages,KEEP:network-financial
16,besthealthinsurancerate.co.uk,financial,insurance,KEEP:network-financial
17,besthealthinsurancerate.uk,financial,insurance,KEEP:network-financial
18,besthealthinsurancerates.co.uk,financial,insurance,KEEP:network-financial
19,besthealthinsurancerates.uk,financial,insurance,KEEP:network-financial
20,bestinsurancedeal.co.uk,financial,insurance,KEEP:network-financial
21,bestinsurancedeal.uk,financial,insurance,KEEP:network-financial
22,bestinsurancedeals.co.uk,financial,insurance,KEEP:network-financial
23,bestinsurancedeals.uk,financial,insurance,KEEP:network-financial
24,bestinsurancequote.uk,financial,insurance,KEEP:network-financial
25,bestinsurancequotes.uk,financial,insurance,KEEP:network-financial
26,bestinsurancerate.co.uk,financial,insurance,KEEP:network-financial
27,bestinsurancerate.uk,financial,insurance,KEEP:network-financial
28,bestinsurancerates.co.uk,financial,insurance,KEEP:network-financial
29,bestinsurancerates.uk,financial,insurance,KEEP:network-financial
30,bestlandlordinsurancerate.co.uk,financial,insurance,KEEP:network-financial
31,bestlandlordinsurancerate.uk,financial,insurance,KEEP:network-financial
32,bestlandlordinsurancerates.uk,financial,insurance,KEEP:network-financial
33,billz.uk,financial,general,KEEP:network-financial
34,business-lenders.co.uk,financial,loans,KEEP:network-financial
35,businessfinances.uk,financial,general,KEEP:network-financial
36,businessinsurancequotation.co.uk,financial,insurance,KEEP:network-financial
37,businessinsurancequotation.uk,financial,insurance,KEEP:network-financial
38,buygoldbullion.co.uk,financial,investing,KEEP:network-financial
39,buygoldbullion.uk,financial,investing,KEEP:network-financial
40,buysilverbullion.co.uk,financial,investing,KEEP:network-financial
41,buysilverbullion.uk,financial,investing,KEEP:network-financial
42,buytoletcalculator.uk,tools-comparison,general,KEEP:live-site
43,carinsured.co.uk,financial,insurance,KEEP:network-financial
44,cheaphouseinsurance.uk,financial,insurance,KEEP:network-financial
45,cheapinsurancequote.uk,financial,insurance,KEEP:network-financial
46,companypensions.uk,financial,investing,KEEP:network-financial
47,comparefamilyhealthinsurance.co.uk,financial,insurance,KEEP:network-financial
48,comparefamilyhealthinsurance.uk,financial,insurance,KEEP:network-financial
49,competitiverates.co.uk,financial,general,KEEP:network-financial
50,consolidateloans.co.uk,financial,loans,KEEP:network-financial
51,consolidateloans.uk,financial,loans,KEEP:network-financial
52,consolidatemortgage.co.uk,financial,mortgages,KEEP:network-financial
53,cookly.uk,food-drink,general,KEEP:live-site
54,corporatehealthinsurance.uk,financial,insurance,KEEP:network-financial
55,creditscoring.uk,financial,credit-debt,KEEP:network-financial
56,currencyconversion.co.uk,financial,foreign-exchange,KEEP:network-financial
57,currencyconversions.co.uk,financial,foreign-exchange,KEEP:network-financial
58,debtconsolidating.co.uk,financial,credit-debt,KEEP:network-financial
59,designblog.co.uk,web-digital,design,KEEP:live-site
60,designconsultancy.co.uk,web-digital,design,KEEP:live-site
61,dsgn.co.uk,brandable-short,4-char,KEEP:live-site
62,e-vehicleinsurance.uk,financial,insurance,KEEP:network-financial
63,email-account.co.uk,business-services,accounting,KEEP:live-site
64,email-account.uk,business-services,accounting,KEEP:live-site
65,emailsecurity.uk,ai-tech,software,KEEP:live-site
66,equity-release-calculator.co.uk,financial,investing,KEEP:network-financial
67,evehicleinsurance.uk,financial,insurance,KEEP:network-financial
68,familyhealthinsurancequote.co.uk,financial,insurance,KEEP:network-financial
69,familyhealthinsurancequote.uk,financial,insurance,KEEP:network-financial
70,farmerinsurance.uk,financial,insurance,KEEP:network-financial
71,finetuning.uk,ai-tech,ai,KEEP:live-site
72,fixedinterestmortgagerates.co.uk,financial,mortgages,KEEP:network-financial
73,fixedmortgagerates.co.uk,financial,mortgages,KEEP:network-financial
74,fleetfinancing.co.uk,financial,general,KEEP:network-financial
75,free-credit-reports.co.uk,financial,credit-debt,KEEP:network-financial
76,fundamentallyai.com,ai-tech,ai,KEEP:live-site
77,gamedesign.uk,web-digital,design,KEEP:live-site
78,gamesdesign.co.uk,web-digital,design,KEEP:live-site
79,garden-tools.uk,home-garden,garden,KEEP:live-site
80,goldmines.co.uk,financial,investing,KEEP:network-financial
81,healthinsurancedeal.co.uk,financial,insurance,KEEP:network-financial
82,healthinsurancedeal.uk,financial,insurance,KEEP:network-financial
83,healthinsurancedeals.uk,financial,insurance,KEEP:network-financial
84,healthinsuranceforstaff.uk,financial,insurance,KEEP:network-financial
85,healthinsurancenews.uk,financial,insurance,KEEP:network-financial
86,healthinsurancequotation.co.uk,financial,insurance,KEEP:network-financial
87,healthinsurancequotation.uk,financial,insurance,KEEP:network-financial
88,healthinsurancequote.uk,financial,insurance,KEEP:network-financial
89,healthinsurancerate.co.uk,financial,insurance,KEEP:network-financial
