priority,domain,category
1,adapter.uk,single-dictionary-word
2,adapting.uk,single-dictionary-word
3,ant.uk,single-dictionary-word
4,axles.uk,single-dictionary-word
5,bacteriology.uk,single-dictionary-word
6,banker.uk,single-dictionary-word
7,calculation.uk,single-dictionary-word
8,catered.uk,single-dictionary-word
9,cleanly.uk,single-dictionary-word
10,clips.uk,single-dictionary-word
11,comedienne.uk,single-dictionary-word
12,crackers.uk,single-dictionary-word
13,cuddle.uk,single-dictionary-word
14,decompress.uk,single-dictionary-word
15,design.uk,single-dictionary-word
16,designs.uk,single-dictionary-word
17,enables.uk,single-dictionary-word
18,endangered.uk,single-dictionary-word
19,evaluating.uk,single-dictionary-word
20,felines.uk,single-dictionary-word
21,fishhook.uk,single-dictionary-word
22,flights.vin,single-dictionary-word
23,flyers.uk,single-dictionary-word
24,free.uk,single-dictionary-word
25,gardens.uk,single-dictionary-word
26,healthcare.uk,single-dictionary-word
27,idea.uk,single-dictionary-word
28,impishly.com,single-dictionary-word
29,lameness.uk,single-dictionary-word
30,lampshades.uk,single-dictionary-word
31,mandrill.uk,single-dictionary-word
32,morale.uk,single-dictionary-word
33,mow.uk,single-dictionary-word
34,naturalistic.uk,single-dictionary-word
35,ordering.uk,single-dictionary-word
36,parallelled.com,single-dictionary-word
37,pendant.uk,single-dictionary-word
38,perhaps.uk,single-dictionary-word
39,personae.uk,single-dictionary-word
40,personalising.uk,single-dictionary-word
41,pleasuring.uk,single-dictionary-word
42,posh.uk,single-dictionary-word
43,princesses.uk,single-dictionary-word
44,progressed.uk,single-dictionary-word
45,proofread.uk,single-dictionary-word
46,proofreaders.uk,single-dictionary-word
47,proverb.uk,single-dictionary-word
48,psychiatric.uk,single-dictionary-word
49,rationale.uk,single-dictionary-word
50,redesign.uk,single-dictionary-word
51,redesigning.uk,single-dictionary-word
52,registrants.uk,single-dictionary-word
53,rein.uk,single-dictionary-word
54,requisite.uk,single-dictionary-word
55,respirators.uk,single-dictionary-word
56,revenues.uk,single-dictionary-word
57,rulers.uk,single-dictionary-word
58,segmentation.uk,single-dictionary-word
59,spectacular.uk,single-dictionary-word
60,spreadsheet.uk,single-dictionary-word
61,sultry.uk,single-dictionary-word
62,tethered.uk,single-dictionary-word
63,toadstool.uk,single-dictionary-word
64,transitioning.uk,single-dictionary-word
65,twinning.uk,single-dictionary-word
66,units.uk,single-dictionary-word
67,uprights.uk,single-dictionary-word
68,veterinary.uk,single-dictionary-word
