priority,domain,category,subcategory,reason
1,2v.uk,brandable-short,2-char,PREMIUM-REVIEW:short-name
2,2w.uk,brandable-short,2-char,PREMIUM-REVIEW:short-name
3,4l.uk,brandable-short,2-char,PREMIUM-REVIEW:short-name
4,5s.uk,brandable-short,2-char,PREMIUM-REVIEW:short-name
5,adapter.uk,consumer-products,electronics,PREMIUM-REVIEW:single-word
6,adapting.uk,generic-word,general,PREMIUM-REVIEW:single-word
7,aiq.uk,brandable-short,3-char,PREMIUM-REVIEW:short-name
8,ant.uk,brandable-short,3-char,PREMIUM-REVIEW:single-word
9,axles.uk,automotive,parts-accessories,PREMIUM-REVIEW:single-word
10,bacteriology.uk,health-medical,general,PREMIUM-REVIEW:single-word
11,banker.uk,financial,banking-savings,PREMIUM-REVIEW:single-word
12,calculation.uk,generic-word,general,PREMIUM-REVIEW:single-word
13,catered.uk,food-drink,general,PREMIUM-REVIEW:single-word
14,cleanly.uk,home-garden,services,PREMIUM-REVIEW:single-word
15,clips.uk,generic-word,general,PREMIUM-REVIEW:single-word
16,cogk.com,brandable-short,4-char,PREMIUM-REVIEW:4-letter-com
17,comedienne.uk,generic-word,general,PREMIUM-REVIEW:single-word
18,crackers.uk,food-drink,general,PREMIUM-REVIEW:single-word
19,cuddle.uk,generic-word,general,PREMIUM-REVIEW:single-word
20,decompress.uk,generic-word,general,PREMIUM-REVIEW:single-word
21,design.uk,web-digital,design,PREMIUM-REVIEW:single-word
22,designs.uk,web-digital,design,PREMIUM-REVIEW:single-word
23,eetz.com,brandable-short,4-char,PREMIUM-REVIEW:4-letter-com
24,enables.uk,generic-word,general,PREMIUM-REVIEW:single-word
25,endangered.uk,generic-word,general,PREMIUM-REVIEW:single-word
26,evaluating.uk,generic-word,general,PREMIUM-REVIEW:single-word
27,felines.uk,pets-vet,general,PREMIUM-REVIEW:single-word
28,fishhook.uk,sports-leisure,fishing,PREMIUM-REVIEW:single-word
29,flyers.uk,packaging-print,print-services,PREMIUM-REVIEW:single-word
30,free.uk,brandable-short,4-char,PREMIUM-REVIEW:single-word
31,gardens.uk,home-garden,garden,PREMIUM-REVIEW:single-word
32,gjw.uk,brandable-short,3-char,PREMIUM-REVIEW:short-name
33,hmuu.com,brandable-short,4-char,PREMIUM-REVIEW:4-letter-com
34,idea.uk,brandable-short,4-char,PREMIUM-REVIEW:single-word
35,impishly.com,generic-word,general,PREMIUM-REVIEW:single-word
36,inj.uk,brandable-short,3-char,PREMIUM-REVIEW:short-name
37,jebr.com,brandable-short,4-char,PREMIUM-REVIEW:4-letter-com
38,kogj.com,brandable-short,4-char,PREMIUM-REVIEW:4-letter-com
39,kopz.com,brandable-short,4-char,PREMIUM-REVIEW:4-letter-com
40,kzlu.com,brandable-short,4-char,PREMIUM-REVIEW:4-letter-com
41,lameness.uk,pets-vet,general,PREMIUM-REVIEW:single-word
42,lampshades.uk,home-garden,furnishings,PREMIUM-REVIEW:single-word
43,lyf.uk,brandable-short,3-char,PREMIUM-REVIEW:short-name
44,mandrill.uk,generic-word,general,PREMIUM-REVIEW:single-word
45,morale.uk,generic-word,general,PREMIUM-REVIEW:single-word
46,mow.uk,brandable-short,3-char,PREMIUM-REVIEW:single-word
47,naturalistic.uk,generic-word,general,PREMIUM-REVIEW:single-word
48,ordering.uk,generic-word,general,PREMIUM-REVIEW:single-word
49,ortd.com,brandable-short,4-char,PREMIUM-REVIEW:4-letter-com
50,oufe.com,brandable-short,4-char,PREMIUM-REVIEW:4-letter-com
51,parallelled.com,generic-word,general,PREMIUM-REVIEW:single-word
52,pendant.uk,consumer-products,jewellery-watches,PREMIUM-REVIEW:single-word
53,perhaps.uk,generic-word,general,PREMIUM-REVIEW:single-word
54,personae.uk,generic-word,general,PREMIUM-REVIEW:single-word
55,personalising.uk,consumer-products,gifts,PREMIUM-REVIEW:single-word
56,pleasuring.uk,consumer-products,adult,PREMIUM-REVIEW:single-word
57,posh.uk,brandable-short,4-char,PREMIUM-REVIEW:single-word
58,princesses.uk,generic-word,general,PREMIUM-REVIEW:single-word
59,progressed.uk,generic-word,general,PREMIUM-REVIEW:single-word
60,proofread.uk,web-digital,content,PREMIUM-REVIEW:single-word
61,proofreaders.uk,web-digital,content,PREMIUM-REVIEW:single-word
62,proverb.uk,generic-word,general,PREMIUM-REVIEW:single-word
63,psychiatric.uk,health-medical,general,PREMIUM-REVIEW:single-word
64,rationale.uk,generic-word,general,PREMIUM-REVIEW:single-word
65,redesign.uk,web-digital,design,PREMIUM-REVIEW:single-word
66,redesigning.uk,web-digital,design,PREMIUM-REVIEW:single-word
67,registrants.uk,web-digital,web,PREMIUM-REVIEW:single-word
68,rein.uk,brandable-short,4-char,PREMIUM-REVIEW:single-word
69,requisite.uk,generic-word,general,PREMIUM-REVIEW:single-word
70,respirators.uk,industrial-equipment,safety,PREMIUM-REVIEW:single-word
71,revenues.uk,financial,general,PREMIUM-REVIEW:single-word
72,rulers.uk,consumer-products,office-stationery,PREMIUM-REVIEW:single-word
73,ruql.com,brandable-short,4-char,PREMIUM-REVIEW:4-letter-com
74,segmentation.uk,web-digital,marketing,PREMIUM-REVIEW:single-word
75,seqd.com,brandable-short,4-char,PREMIUM-REVIEW:4-letter-com
76,spectacular.uk,generic-word,general,PREMIUM-REVIEW:single-word
77,spreadsheet.uk,ai-tech,software,PREMIUM-REVIEW:single-word
78,sultry.uk,generic-word,general,PREMIUM-REVIEW:single-word
79,terj.com,brandable-short,4-char,PREMIUM-REVIEW:4-letter-com
80,tethered.uk,generic-word,general,PREMIUM-REVIEW:single-word
81,toadstool.uk,generic-word,general,PREMIUM-REVIEW:single-word
82,transitioning.uk,generic-word,general,PREMIUM-REVIEW:single-word
83,twinning.uk,generic-word,general,PREMIUM-REVIEW:single-word
84,umeg.com,brandable-short,4-char,PREMIUM-REVIEW:4-letter-com
85,units.uk,generic-word,general,PREMIUM-REVIEW:single-word
86,uprights.uk,generic-word,general,PREMIUM-REVIEW:single-word
87,veterinary.uk,pets-vet,general,PREMIUM-REVIEW:single-word
88,vulz.com,brandable-short,4-char,PREMIUM-REVIEW:4-letter-com
89,wpx.uk,brandable-short,3-char,PREMIUM-REVIEW:short-name
90,zdec.com,brandable-short,4-char,PREMIUM-REVIEW:4-letter-com
91,ziqt.com,brandable-short,4-char,PREMIUM-REVIEW:4-letter-com
