priority,domain,proxy_domain,category
1,advertise.co.uk,advertise.com,single-dictionary-word
2,ant.co.uk,ant.com,single-dictionary-word
3,bacteriology.co.uk,bacteriology.com,single-dictionary-word
4,banker.co.uk,banker.com,single-dictionary-word
5,borrowing.co.uk,borrowing.com,single-dictionary-word
6,bulbous.co.uk,bulbous.com,single-dictionary-word
7,bunnies.co.uk,bunnies.com,single-dictionary-word
8,calipers.co.uk,calipers.com,single-dictionary-word
9,cartoon.co.uk,cartoon.com,single-dictionary-word
10,catalogues.co.uk,catalogues.com,single-dictionary-word
11,conferences.co.uk,conferences.com,single-dictionary-word
12,debugger.co.uk,debugger.com,single-dictionary-word
13,design.co.uk,design.com,single-dictionary-word
14,designs.co.uk,designs.com,single-dictionary-word
15,disguises.co.uk,disguises.com,single-dictionary-word
16,dishcloths.co.uk,dishcloths.com,single-dictionary-word
17,dividends.co.uk,dividends.com,single-dictionary-word
18,divots.co.uk,divots.com,single-dictionary-word
19,duplexes.co.uk,duplexes.com,single-dictionary-word
20,duplicates.co.uk,duplicates.com,single-dictionary-word
21,egret.co.uk,egret.com,single-dictionary-word
22,eyesight.org.uk,eyesight.com,single-dictionary-word
23,fees.co.uk,fees.com,single-dictionary-word
24,felines.co.uk,felines.com,single-dictionary-word
25,finance.org.uk,finance.com,single-dictionary-word
26,free.me.uk,free.com,single-dictionary-word
27,gardens.co.uk,gardens.com,single-dictionary-word
28,glop.co.uk,glop.com,single-dictionary-word
29,guaranteed.co.uk,guaranteed.com,single-dictionary-word
30,hacks.co.uk,hacks.com,single-dictionary-word
31,hatcheries.co.uk,hatcheries.com,single-dictionary-word
32,hell.co.uk,hell.com,single-dictionary-word
33,illustrating.co.uk,illustrating.com,single-dictionary-word
34,implications.co.uk,implications.com,single-dictionary-word
35,investment.me.uk,investment.com,single-dictionary-word
36,lambing.co.uk,lambing.com,single-dictionary-word
37,lameness.co.uk,lameness.com,single-dictionary-word
38,luggage.org.uk,luggage.com,single-dictionary-word
39,madonnas.co.uk,madonnas.com,single-dictionary-word
40,mallets.co.uk,mallets.com,single-dictionary-word
41,medication.me.uk,medication.com,single-dictionary-word
42,moderated.co.uk,moderated.com,single-dictionary-word
43,negotiations.co.uk,negotiations.com,single-dictionary-word
44,noted.co.uk,noted.com,single-dictionary-word
45,pendant.co.uk,pendant.com,single-dictionary-word
46,personalising.co.uk,personalising.com,single-dictionary-word
47,predate.co.uk,predate.com,single-dictionary-word
48,proverb.co.uk,proverb.com,single-dictionary-word
49,puzzles.org.uk,puzzles.com,single-dictionary-word
50,rants.co.uk,rants.com,single-dictionary-word
51,redesign.co.uk,redesign.com,single-dictionary-word
52,refurnished.co.uk,refurnished.com,single-dictionary-word
53,rein.co.uk,rein.com,single-dictionary-word
54,repossessing.co.uk,repossessing.com,single-dictionary-word
55,reread.co.uk,reread.com,single-dictionary-word
56,reselling.co.uk,reselling.com,single-dictionary-word
57,scales.co.uk,scales.com,single-dictionary-word
58,screenwriters.co.uk,screenwriters.com,single-dictionary-word
59,sedative.co.uk,sedative.com,single-dictionary-word
60,seduce.co.uk,seduce.com,single-dictionary-word
61,shekels.co.uk,shekels.com,single-dictionary-word
62,slim.org.uk,slim.com,single-dictionary-word
63,summarising.co.uk,summarising.com,single-dictionary-word
64,sunshine.org.uk,sunshine.com,single-dictionary-word
65,tailcoat.co.uk,tailcoat.com,single-dictionary-word
66,thankless.co.uk,thankless.com,single-dictionary-word
67,uprights.co.uk,uprights.com,single-dictionary-word
68,veterinary.co.uk,veterinary.com,single-dictionary-word
69,virology.co.uk,virology.com,single-dictionary-word
70,visitors.co.uk,visitors.com,single-dictionary-word
71,voters.co.uk,voters.com,single-dictionary-word
72,whisks.co.uk,whisks.com,single-dictionary-word
