priority,domain,proxy_domain,category,subcategory,reason
1,00.org.uk,00.com,brandable-short,2-char,PREMIUM-REVIEW:short-name
2,5un.co.uk,5un.com,brandable-short,3-char,PREMIUM-REVIEW:short-name
3,advertise.co.uk,advertise.com,web-digital,marketing,PREMIUM-REVIEW:single-word
4,ant.co.uk,ant.com,brandable-short,3-char,PREMIUM-REVIEW:single-word
5,bacteriology.co.uk,bacteriology.com,health-medical,general,PREMIUM-REVIEW:single-word
6,banker.co.uk,banker.com,financial,banking-savings,PREMIUM-REVIEW:single-word
7,borrowing.co.uk,borrowing.com,financial,loans,PREMIUM-REVIEW:single-word
8,bulbous.co.uk,bulbous.com,generic-word,general,PREMIUM-REVIEW:single-word
9,bunnies.co.uk,bunnies.com,pets-vet,general,PREMIUM-REVIEW:single-word
10,calipers.co.uk,calipers.com,industrial-equipment,test-measurement,PREMIUM-REVIEW:single-word
11,catalogues.co.uk,catalogues.com,consumer-products,retail,PREMIUM-REVIEW:single-word
12,conferences.co.uk,conferences.com,events-exhibitions,general,PREMIUM-REVIEW:single-word
13,cv1.co.uk,cv1.com,brandable-short,3-char,PREMIUM-REVIEW:short-name
14,debugger.co.uk,debugger.com,ai-tech,software,PREMIUM-REVIEW:single-word
15,design.co.uk,design.com,web-digital,design,PREMIUM-REVIEW:single-word
16,designs.co.uk,designs.com,web-digital,design,PREMIUM-REVIEW:single-word
17,disguises.co.uk,disguises.com,consumer-products,gifts,PREMIUM-REVIEW:single-word
18,dishcloths.co.uk,dishcloths.com,consumer-products,household,PREMIUM-REVIEW:single-word
19,dividends.co.uk,dividends.com,financial,investing,PREMIUM-REVIEW:single-word
20,divots.co.uk,divots.com,sports-leisure,golf,PREMIUM-REVIEW:single-word
21,duplexes.co.uk,duplexes.com,property,general,PREMIUM-REVIEW:single-word
22,duplicates.co.uk,duplicates.com,generic-word,general,PREMIUM-REVIEW:single-word
23,egret.co.uk,egret.com,generic-word,general,PREMIUM-REVIEW:single-word
24,eyesight.org.uk,eyesight.com,health-medical,general,PREMIUM-REVIEW:single-word
25,fees.co.uk,fees.com,brandable-short,4-char,PREMIUM-REVIEW:single-word
26,felines.co.uk,felines.com,pets-vet,general,PREMIUM-REVIEW:single-word
27,finance.org.uk,finance.com,financial,general,PREMIUM-REVIEW:single-word
28,gardens.co.uk,gardens.com,home-garden,garden,PREMIUM-REVIEW:single-word
29,glop.co.uk,glop.com,brandable-short,4-char,PREMIUM-REVIEW:single-word
30,guaranteed.co.uk,guaranteed.com,generic-word,general,PREMIUM-REVIEW:single-word
31,hacks.co.uk,hacks.com,generic-word,general,PREMIUM-REVIEW:single-word
32,hatcheries.co.uk,hatcheries.com,agriculture-farming,farming,PREMIUM-REVIEW:single-word
33,hell.co.uk,hell.com,brandable-short,4-char,PREMIUM-REVIEW:single-word
34,illustrating.co.uk,illustrating.com,web-digital,design,PREMIUM-REVIEW:single-word
35,implications.co.uk,implications.com,generic-word,general,PREMIUM-REVIEW:single-word
36,investment.me.uk,investment.com,financial,investing,PREMIUM-REVIEW:single-word
37,ki2.co.uk,ki2.com,brandable-short,3-char,PREMIUM-REVIEW:short-name
38,lambing.co.uk,lambing.com,agriculture-farming,farming,PREMIUM-REVIEW:single-word
39,lameness.co.uk,lameness.com,pets-vet,general,PREMIUM-REVIEW:single-word
40,luggage.org.uk,luggage.com,travel,accessories,PREMIUM-REVIEW:single-word
41,madonnas.co.uk,madonnas.com,names-places,personal,PREMIUM-REVIEW:single-word
42,mallets.co.uk,mallets.com,home-garden,tools-diy,PREMIUM-REVIEW:single-word
43,medication.me.uk,medication.com,health-medical,general,PREMIUM-REVIEW:single-word
44,moderated.co.uk,moderated.com,generic-word,general,PREMIUM-REVIEW:single-word
45,negotiations.co.uk,negotiations.com,business-services,general,PREMIUM-REVIEW:single-word
46,noted.co.uk,noted.com,generic-word,general,PREMIUM-REVIEW:single-word
47,pendant.co.uk,pendant.com,consumer-products,jewellery-watches,PREMIUM-REVIEW:single-word
48,personalising.co.uk,personalising.com,consumer-products,gifts,PREMIUM-REVIEW:single-word
49,predate.co.uk,predate.com,generic-word,general,PREMIUM-REVIEW:single-word
50,proverb.co.uk,proverb.com,generic-word,general,PREMIUM-REVIEW:single-word
51,puzzles.org.uk,puzzles.com,sports-leisure,gaming,PREMIUM-REVIEW:single-word
52,rants.co.uk,rants.com,generic-word,general,PREMIUM-REVIEW:single-word
53,redesign.co.uk,redesign.com,web-digital,design,PREMIUM-REVIEW:single-word
54,refurnished.co.uk,refurnished.com,home-garden,furnishings,PREMIUM-REVIEW:single-word
55,rein.co.uk,rein.com,brandable-short,4-char,PREMIUM-REVIEW:single-word
56,repossessing.co.uk,repossessing.com,financial,credit-debt,PREMIUM-REVIEW:single-word
57,reread.co.uk,reread.com,generic-word,general,PREMIUM-REVIEW:single-word
58,reselling.co.uk,reselling.com,consumer-products,retail,PREMIUM-REVIEW:single-word
59,scales.co.uk,scales.com,consumer-products,appliances,PREMIUM-REVIEW:single-word
60,screenwriters.co.uk,screenwriters.com,web-digital,content,PREMIUM-REVIEW:single-word
61,sedative.co.uk,sedative.com,health-medical,general,PREMIUM-REVIEW:single-word
62,seduce.co.uk,seduce.com,dating,general,PREMIUM-REVIEW:single-word
63,shekels.co.uk,shekels.com,financial,general,PREMIUM-REVIEW:single-word
64,slim.org.uk,slim.com,brandable-short,4-char,PREMIUM-REVIEW:single-word
65,summarising.co.uk,summarising.com,web-digital,content,PREMIUM-REVIEW:single-word
66,sunshine.org.uk,sunshine.com,generic-word,general,PREMIUM-REVIEW:single-word
67,tailcoat.co.uk,tailcoat.com,consumer-products,clothing-fashion,PREMIUM-REVIEW:single-word
68,thankless.co.uk,thankless.com,generic-word,general,PREMIUM-REVIEW:single-word
69,uprights.co.uk,uprights.com,generic-word,general,PREMIUM-REVIEW:single-word
70,veterinary.co.uk,veterinary.com,pets-vet,general,PREMIUM-REVIEW:single-word
71,virology.co.uk,virology.com,health-medical,general,PREMIUM-REVIEW:single-word
72,visitors.co.uk,visitors.com,generic-word,general,PREMIUM-REVIEW:single-word
73,voters.co.uk,voters.com,generic-word,general,PREMIUM-REVIEW:single-word
74,whisks.co.uk,whisks.com,consumer-products,kitchenware,PREMIUM-REVIEW:single-word
