priority,domain,proxy_domain,category
1,adversecreditmortgage.co.uk,adversecreditmortgage.com,financial
2,automaticcarinsurance.co.uk,automaticcarinsurance.com,financial
3,banker.co.uk,banker.com,financial
4,bankingequipment.co.uk,bankingequipment.com,financial
5,bankmortgagerates.co.uk,bankmortgagerates.com,financial
6,banks-rates.co.uk,banks-rates.com,financial
7,banksavingsrates.co.uk,banksavingsrates.com,financial
8,banksrates.co.uk,banksrates.com,financial
9,besthealthinsurancerate.co.uk,besthealthinsurancerate.com,financial
10,besthealthinsurancerates.co.uk,besthealthinsurancerates.com,financial
11,bestinsurancedeal.co.uk,bestinsurancedeal.com,financial
12,bestinsurancedeals.co.uk,bestinsurancedeals.com,financial
13,bestinsurancerate.co.uk,bestinsurancerate.com,financial
14,bestinsurancerates.co.uk,bestinsurancerates.com,financial
15,bestlandlordinsurancerate.co.uk,bestlandlordinsurancerate.com,financial
16,borrowing.co.uk,borrowing.com,financial
17,business-lenders.co.uk,business-lenders.com,financial
18,businessinsurancequotation.co.uk,businessinsurancequotation.com,financial
19,buygoldbullion.co.uk,buygoldbullion.com,financial
20,buysilverbullion.co.uk,buysilverbullion.com,financial
21,carinsured.co.uk,carinsured.com,financial
22,comparefamilyhealthinsurance.co.uk,comparefamilyhealthinsurance.com,financial
23,competitiverates.co.uk,competitiverates.com,financial
24,consolidateloans.co.uk,consolidateloans.com,financial
25,consolidatemortgage.co.uk,consolidatemortgage.com,financial
26,currencyconversion.co.uk,currencyconversion.com,financial
27,currencyconversions.co.uk,currencyconversions.com,financial
28,debtconsolidating.co.uk,debtconsolidating.com,financial
29,dividends.co.uk,dividends.com,financial
30,equity-release-calculator.co.uk,equity-release-calculator.com,financial
31,familyhealthinsurancequote.co.uk,familyhealthinsurancequote.com,financial
32,finance.org.uk,finance.com,financial
33,fixedinterestmortgagerates.co.uk,fixedinterestmortgagerates.com,financial
34,fixedmortgagerates.co.uk,fixedmortgagerates.com,financial
35,fleetfinancing.co.uk,fleetfinancing.com,financial
36,free-credit-reports.co.uk,free-credit-reports.com,financial
37,goldmines.co.uk,goldmines.com,financial
38,healthinsurancedeal.co.uk,healthinsurancedeal.com,financial
39,healthinsurancequotation.co.uk,healthinsurancequotation.com,financial
40,healthinsurancerate.co.uk,healthinsurancerate.com,financial
41,healthinsurancerates.co.uk,healthinsurancerates.com,financial
42,highestinterest.co.uk,highestinterest.com,financial
43,highestrate.co.uk,highestrate.com,financial
44,highestsavingsrate.co.uk,highestsavingsrate.com,financial
45,homeinsurancedeal.co.uk,homeinsurancedeal.com,financial
46,incapacitation.co.uk,incapacitation.com,financial
47,incomeprotectioncover.co.uk,incomeprotectioncover.com,financial
48,indemnitycover.co.uk,indemnitycover.com,financial
49,insuranceapp.co.uk,insuranceapp.com,financial
50,insurancedomain.co.uk,insurancedomain.com,financial
51,interestrates.co.uk,interestrates.com,financial
52,investment.me.uk,investment.com,financial
53,investmentsapp.co.uk,investmentsapp.com,financial
54,jobinfinance.co.uk,jobinfinance.com,financial
55,journalistinsurance.co.uk,journalistinsurance.com,financial
56,keypersoncover.co.uk,keypersoncover.com,financial
57,keyworkerinsurance.co.uk,keyworkerinsurance.com,financial
58,landlordinsurancedeal.co.uk,landlordinsurancedeal.com,financial
59,landlordinsurancedeals.co.uk,landlordinsurancedeals.com,financial
60,landlordinsurancerate.co.uk,landlordinsurancerate.com,financial
61,landlordinsurancerates.co.uk,landlordinsurancerates.com,financial
62,lendsy.co.uk,lendsy.com,financial
63,lendzy.co.uk,lendzy.com,financial
