domain,expiry,auto_renew,nameservers
aadaishu.com,2027-07-02,yes,ns1.afternic.com;ns2.afternic.com
accountancysites.com,2026-10-15,yes,ns1.afternic.com;ns2.afternic.com
actuariel.com,2027-09-08,yes,ns1.afternic.com;ns2.afternic.com;verification-awsptzetb8u3mirwajgifs.ns101.verify.hn
agricultureseeds.com,2027-01-31,yes,ns1.afternic.com;ns2.afternic.com;verification-awsptzetb8u3mirwajgifs.ns101.verify.hn
alquilados.com,2026-11-24,yes,ns1.afternic.com;ns2.afternic.com
alquilermarbella.com,2026-10-27,yes,ns1.afternic.com;ns2.afternic.com
aluminum-boats.com,2027-10-30,yes,ns1.atom.com;ns2.atom.com
aluminum-windows.com,2027-07-09,yes,ns1.atom.com;ns2.atom.com
aluminumcanes.com,2026-10-24,yes,ns1.afternic.com;ns2.afternic.com;verification-awsptzetb8u3mirwajgifs.ns101.verify.hn
analyticscentral.com,2026-11-02,yes,ns1.afternic.com;ns2.afternic.com
animalcleaner.com,2026-11-10,yes,ns1.afternic.com;ns2.afternic.com
appareilsmenagers.com,2026-10-27,yes,ns1.afternic.com;ns2.afternic.com
applejuicers.com,2027-07-23,yes,ns1.afternic.com;ns2.afternic.com
applesorter.com,2026-11-25,yes,ns1.afternic.com;ns2.afternic.com
aprj.com,2027-07-25,yes,ns1.afternic.com;ns2.afternic.com;verification-awsptzetb8u3mirwajgifs.ns101.verify.hn
aproximar.com,2027-09-10,yes,ns1.afternic.com;ns2.afternic.com
auberginn.com,2027-08-14,yes,ns1.atom.com;ns2.atom.com
australiavilla.com,2026-12-05,yes,ns1.afternic.com;ns2.afternic.com
autoinsurancechoices.com,2027-01-27,yes,ns1.afternic.com;ns2.afternic.com;verification-awsptzetb8u3mirwajgifs.ns101.verify.hn
automatedcleaning.com,2027-08-27,yes,ns1.afternic.com;ns2.afternic.com;verification-awsptzetb8u3mirwajgifs.ns101.verify.hn
autopilotas.com,2027-09-04,yes,ns1.afternic.com;ns2.afternic.com;verification-awsptzetb8u3mirwajgifs.ns101.verify.hn
avenueprivee.com,2026-12-04,yes,ns1.afternic.com;ns2.afternic.com
averyvet.com,2026-10-16,yes,ns1.afternic.com;ns2.afternic.com
bancaras.com,2026-11-01,yes,ns1.afternic.com;ns2.afternic.com
banneradscreator.com,2027-09-15,yes,ns1.afternic.com;ns2.afternic.com
bargaingadgets.com,2026-12-17,yes,ns1.afternic.com;ns2.afternic.com;verification-awsptzetb8u3mirwajgifs.ns101.verify.hn
beadblasters.com,2026-11-02,yes,ns1.afternic.com;ns2.afternic.com
beccis.com,2027-07-27,yes,ns1.atom.com;ns2.atom.com
bespokefiredoors.com,2026-11-12,yes,ns1.atom.com;ns2.atom.com
bestaccountingfirm.com,2027-01-25,yes,ns1.afternic.com;ns2.afternic.com;verification-awsptzetb8u3mirwajgifs.ns101.verify.hn
bicicletasplegables.com,2026-12-15,yes,ns1.afternic.com;ns2.afternic.com
bicycleholders.com,2026-10-31,yes,ns1.afternic.com;ns2.afternic.com
bienenhaltung.com,2026-11-02,yes,ns1.afternic.com;ns2.afternic.com;verification-awsptzetb8u3mirwajgifs.ns101.verify.hn
bigotime.com,2027-09-15,yes,ns1.afternic.com;ns2.afternic.com;verification-awsptzetb8u3mirwajgifs.ns101.verify.hn
bikecables.com,2026-09-25,yes,ns1.afternic.com;ns2.afternic.com;verification-awsptzetb8u3mirwajgifs.ns101.verify.hn
bitesizejewelry.com,2027-01-18,yes,ns1.afternic.com;ns2.afternic.com;verification-awsptzetb8u3mirwajgifs.ns101.verify.hn
booking-office.com,2027-03-14,yes,ns1.atom.com;ns2.atom.com
boreholesubmersibles.com,2027-02-19,yes,ns1.afternic.com;ns2.afternic.com;verification-awsptzetb8u3mirwajgifs.ns101.verify.hn
boxing-tickets.com,2027-07-29,yes,dns.uk-noc.com;dns.us-noc.com
boxingonline.com,2026-10-05,yes,alexis.ns.cloudflare.com;leah.ns.cloudflare.com
boxsashwindow.com,2027-11-02,yes,ns1.atom.com;ns2.atom.com
brick-cutting.com,2027-08-08,yes,launch1.spaceship.net;launch2.spaceship.net
brochuresdesign.com,2026-11-19,yes,ns1.afternic.com;ns2.afternic.com
bulkdiamonds.com,2027-01-04,yes,ns1.afternic.com;ns2.afternic.com
businesscredithelp.com,2026-11-04,yes,ns1.afternic.com;ns2.afternic.com
businessloaneligibility.com,2027-01-22,yes,ns1.afternic.com;ns2.afternic.com;verification-awsptzetb8u3mirwajgifs.ns101.verify.hn
buyaprivateisland.com,2027-04-30,yes,(dynadot parking)
buybeaches.com,2026-12-03,yes,ns1.afternic.com;ns2.afternic.com;verification-awsptzetb8u3mirwajgifs.ns101.verify.hn
buycookers.com,2027-01-20,yes,ns1.afternic.com;ns2.afternic.com;verification-awsptzetb8u3mirwajgifs.ns101.verify.hn
buydarts.com,2026-12-25,yes,ns1.afternic.com;ns2.afternic.com
buysellcastle.com,2027-01-19,yes,ns1.afternic.com;ns2.afternic.com;verification-awsptzetb8u3mirwajgifs.ns101.verify.hn
buysportskit.com,2026-09-19,yes,ns1.afternic.com;ns2.afternic.com
cabelolindo.com,2026-11-16,yes,ns1.afternic.com;ns2.afternic.com;verification-awsptzetb8u3mirwajgifs.ns101.verify.hn
cabinet-makers.com,2027-04-11,yes,ns1.atom.com;ns2.atom.com
calculatormortgages.com,2026-12-01,yes,ns1.afternic.com;ns2.afternic.com
calculatorsformortgage.com,2026-12-01,yes,ns1.afternic.com;ns2.afternic.com
calendarsplanners.com,2026-11-02,yes,ns1.afternic.com;ns2.afternic.com
campervanroofs.com,2027-08-12,yes,launch1.spaceship.net;launch2.spaceship.net
canadianforestry.com,2027-02-07,yes,ns1.afternic.com;ns2.afternic.com;verification-awsptzetb8u3mirwajgifs.ns101.verify.hn
carbootfair.com,2026-09-29,yes,ns1.afternic.com;ns2.afternic.com
carhireireland.com,2026-11-10,yes,ns1.afternic.com;ns2.afternic.com
carpentryfirst.com,2027-01-25,yes,ns1.afternic.com;ns2.afternic.com;verification-awsptzetb8u3mirwajgifs.ns101.verify.hn
carpfisheries.com,2027-03-03,yes,ns1.atom.com;ns2.atom.com
carremaps.com,2027-07-22,yes,ns1.atom.com;ns2.atom.com
carsforchildren.com,2027-02-19,yes,ns1.afternic.com;ns2.afternic.com;verification-awsptzetb8u3mirwajgifs.ns101.verify.hn
cassavaroot.com,2026-12-02,yes,ns1.afternic.com;ns2.afternic.com
ccdimaging.com,2026-11-03,yes,ns1.afternic.com;ns2.afternic.com
cheapercapital.com,2026-12-06,yes,ns1.afternic.com;ns2.afternic.com;verification-awsptzetb8u3mirwajgifs.ns101.verify.hn
cheapfastloan.com,2026-10-24,yes,ns1.afternic.com;ns2.afternic.com;verification-awsptzetb8u3mirwajgifs.ns101.verify.hn
cheapshorttermloans.com,2027-08-15,yes,ns1.afternic.com;ns2.afternic.com;verification-awsptzetb8u3mirwajgifs.ns101.verify.hn
chef-prive.com,2027-07-26,yes,ns1.afternic.com;ns2.afternic.com;verification-awsptzetb8u3mirwajgifs.ns101.verify.hn
chidele.com,2026-09-24,yes,ns1.afternic.com;ns2.afternic.com;verification-awsptzetb8u3mirwajgifs.ns101.verify.hn
childjeans.com,2026-10-31,yes,ns1.afternic.com;ns2.afternic.com
childrensportraits.com,2026-11-01,yes,ns1.afternic.com;ns2.afternic.com
childrensportswear.com,2026-12-03,yes,ns1.afternic.com;ns2.afternic.com;verification-awsptzetb8u3mirwajgifs.ns101.verify.hn
chillertrailers.com,2027-11-05,yes,ns1.atom.com;ns2.atom.com
christmasjoyideas.com,2026-11-04,yes,ns1.afternic.com;ns2.afternic.com
communicador.com,2027-06-21,yes,ns1.afternic.com;ns2.afternic.com
companyjingles.com,2027-01-13,yes,ns1.afternic.com;ns2.afternic.com;verification-awsptzetb8u3mirwajgifs.ns101.verify.hn
compdoors.com,2027-04-15,yes,ns1.atom.com;ns2.atom.com
compositefrontdoors.com,2027-05-14,yes,ns1.atom.com;ns2.atom.com
comprada.com,2027-09-17,yes,ns1.afternic.com;ns2.afternic.com;verification-awsptzetb8u3mirwajgifs.ns101.verify.hn
conciergist.com,2026-12-03,yes,ns1.afternic.com;ns2.afternic.com;verification-awsptzetb8u3mirwajgifs.ns101.verify.hn
condommachines.com,2027-08-27,yes,ns1.afternic.com;ns2.afternic.com;verification-awsptzetb8u3mirwajgifs.ns101.verify.hn
conjurar.com,2027-08-20,yes,ns1.afternic.com;ns2.afternic.com;verification-awsptzetb8u3mirwajgifs.ns101.verify.hn
consumerdrone.com,2026-12-06,yes,ns1.afternic.com;ns2.afternic.com;verification-awsptzetb8u3mirwajgifs.ns101.verify.hn
cordlessmowers.com,2027-01-31,yes,ns1.afternic.com;ns2.afternic.com;verification-awsptzetb8u3mirwajgifs.ns101.verify.hn
core-drilling.com,2026-12-05,yes,ns1.atom.com;ns2.atom.com
corksprayinsulation.com,2027-03-15,yes,ns1.atom.com;ns2.atom.com
cornwallmarketing.com,2026-12-06,yes,ns1.afternic.com;ns2.afternic.com
