"domain","price","tld","sld_length","create_date","matched_stem"
"999designers.com","20","com","12","2026-07-30 08:49:51","design"
"ancestralkitchenlab.com","20","com","19","2025-09-08 02:00:46","kitchen"
"healthyhumanfit.com","20","com","15","2026-07-11 20:50:49","health"
"investmentowner.com","20","com","15","2026-03-05 11:22:10","invest"
"oldbreedgolfusa.com","20","com","15","2026-08-20 02:41:57","golf"
"partner-coffee.com","20","com","14","2026-03-29 13:06:04","coffee"
"pendantwebdesign.com","20","com","16","2026-07-18 22:02:29","webdesign;design"
"scalerautomation.com","20","com","16","2025-11-29 15:37:17","automation"
"therighttohealthlawfirm.com","20","com","23","2025-10-09 17:46:14","health"
"travelsafelab.com","20","com","13","2025-12-29 20:37:29","travel"
"verduredesign.com","20","com","13","2025-08-29 20:27:37","design"
"verduredesigns.com","20","com","14","2025-09-12 20:31:06","design"
"runapexautomations.com","21","com","18","2026-07-15 04:58:15","automation"
"tastetravelva.com","21","com","13","2026-09-01 05:48:46","travel"
"calculatorcrush.com","25","com","15","2026-04-28 14:50:23","calculator"
"learnparallelparking.com","25","com","20","2025-07-15 06:18:29","parking"
"arkowebdesign.com","29.99","com","13","2026-06-11 11:08:40","webdesign;design"
"makeautomationservices.com","29.99","com","22","2026-03-28 12:22:37","automation"
"artywebsite.com","30","com","11","2025-09-09 20:54:06","website"
"hotelslyonfrance.com","30","com","16","2026-05-08 13:54:37","hotel"
"hotelsouthport.com","30","com","14","2025-01-30 12:55:49","hotel"
"miamihotelbeach.com","30","com","15","2026-04-14 23:30:21","hotel"
"safaripoolcleaning.com","30","com","18","2026-08-10 01:53:38","cleaning"
"thehotelboston.com","30","com","14","2026-04-14 23:30:04","hotel"
"travellervillage.com","30","com","16","2024-12-20 08:13:05","travel;villa"
"sapphirepoker.com","32","com","13","2026-02-01 16:40:23","hire"
"autodefiagent.com","35","com","13","2025-12-03 23:07:19","agent"
"cryptotaskagent.com","35","com","15","2025-12-03 23:08:09","agent"
"fearlessfemaletraveler.com","35","com","22","2026-01-31 11:09:02","travel"
"addgeminiagent.com","40","com","14","2026-02-08 19:36:52","agent"
"addgeminiagents.com","40","com","15","2026-02-08 19:37:28","agent"
"stoichealthandfitness.com","40","com","21","2025-12-31 15:43:00","health"
"anchorageroofingcontractor.com","50","com","26","2026-08-19 20:29:01","roofing"
"austinconstructioncleaning.com","50","com","26","2026-08-19 20:35:14","cleaning"
"bestrestaurantinsurance.com","50","com","23","2026-01-25 22:17:19","insurance"
"buylandloans.com","50","com","12","2026-08-19 20:34:58","loan"
"charlotteconstructioncleaning.com","50","com","29","2026-08-19 20:36:33","cleaning"
"chicagosolartech.com","50","com","16","2025-10-21 06:22:36","solar"
"coffeeshakerato.com","50","com","15","2026-04-07 09:53:21","coffee"
"crazycarloans.com","50","com","13","2026-08-19 20:33:51","loan"
"custom-calculator.com","50","com","17","2025-08-22 11:33:49","calculator"
"ehotelone.com","50","com","9","2026-01-10 17:31:14","hotel"
"entrepriseagent.com","50","com","15","2026-05-28 15:21:32","agent"
"ethosdesignco.com","50","com","13","2026-07-11 03:06:42","design"
"healthfulpower.com","50","com","14","2025-08-30 07:35:32","health"
"hedgingfinance.com","50","com","14","2026-08-19 20:34:27","finance"
"isainvesting.com","50","com","12","2022-11-10 11:17:37","invest"
"kdrama-kitchen.com","50","com","14","2026-02-21 12:11:20","kitchen"
"memphismetalroofing.com","50","com","19","2025-09-08 19:33:51","roofing"
"mississaugamortgagebrokers.com","50","com","26","2025-09-03 20:46:57","mortgage"
"mycredittrack.com","50","com","13","2026-02-16 13:46:37","credit"
"neworleansmortgagebroker.com","50","com","24","2026-08-19 20:33:32","mortgage"
"nycfinanceai.com","50","com","12","2025-12-02 14:01:34","finance"
"phygitalrobot.com","50","com","13","2026-02-24 02:15:46","robot"
"praguementalhealth.com","50","com","18","2025-10-16 07:09:15","health"
"progressivementalhealthsolutions.com","50","com","32","2025-05-25 08:59:12","health"
"robotpodium.com","50","com","11","2026-02-18 00:34:47","robot"
"telosdesignsco.com","50","com","14","2026-07-11 03:07:16","design"
"healthspahouston.com","58.99","com","16","2025-11-10 15:01:44","health"
"calgaryinsuranceservices.com","59","com","24","2025-09-20 23:28:41","insurance"
"chicagoinvestmentteam.com","59","com","21","2025-11-10 15:02:29","invest"
"myhealthyclinic.com","59","com","15","2025-12-13 20:05:47","health"
"trustedroofingpro.com","59","com","17","2026-01-29 19:30:47","roofing"
"ostravahotels.com","60","com","13","2025-09-23 18:35:45","hotel"
"cleaninglad.com","80","com","11","2026-01-21 11:21:03","cleaning"
"glendalewebsitedesign.com","89","com","21","2026-04-09 12:50:28","website;design"
"nocostinsurancequote.com","89","com","20","2026-03-23 00:15:36","insurance"
"accessiblewebsites.com","97","com","18","2023-09-10 21:14:18","website"
"agenticopspowered.com","98","com","17","2026-02-21 22:19:38","agent"
"agenticprocesspowered.com","98","com","21","2026-02-21 22:16:43","agent"
"agentictechoperation.com","98","com","20","2026-02-21 22:17:27","agent"
"agentictechoperations.com","98","com","21","2026-02-21 22:18:04","agent"
"agentictechpowered.com","98","com","18","2026-02-21 22:22:03","agent"
"agenticworkflowpowered.com","98","com","22","2026-02-21 22:11:00","agent"
"aiagenticpowered.com","98","com","16","2026-02-21 22:23:33","agent"
"enterpriseagenticpowered.com","98","com","24","2026-02-21 22:13:38","agent"
"enterpriseagentictech.com","98","com","21","2026-02-21 22:15:30","agent"
"forestviewfinance.com","98","com","17","2026-03-19 20:36:50","finance"
"merchantsautomation.com","98","com","19","2025-11-28 18:00:36","automation"
"poweredbyagenticai.com","98","com","18","2026-02-21 22:25:44","agent"
"poweredbyagenticops.com","98","com","19","2026-02-21 22:18:35","agent"
"poweredbyagenticprocess.com","98","com","23","2026-02-21 22:16:08","agent"
"poweredbyagentictech.com","98","com","20","2026-02-21 21:47:27","agent"
"poweredbyenterpriseagentic.com","98","com","26","2026-02-21 22:14:26","agent"
"agenticquantumpowered.com","99","com","21","2026-02-21 22:21:07","agent"
"aitechagentic.com","99","com","13","2026-02-21 22:24:42","agent"
"anyboilerplate.com","99","com","14","2026-02-25 14:04:52","boiler"
"apexpressurecleaning.com","99","com","20","2025-11-24 20:39:18","cleaning"
"automatedwebdesign.com","99","com","18","2026-04-30 19:21:32","webdesign;design"
"balconyhotel.com","99","com","12","2025-07-11 08:50:15","hotel"
"cheapinsurancepremium.com","99","com","21","2026-03-23 00:18:10","insurance"
"loanscharleston.com","99","com","15","2026-05-19 11:45:50","loan"
"luxuryhotelsforless.com","99","com","19","2020-11-11 14:45:15","hotel"
"luxuryhotelsofeurope.com","99","com","20","2020-11-11 14:44:02","hotel"
"solarpanelscalgary.com","99","com","18","2025-10-26 20:50:54","solar"
"travelmntn.com","99","com","10","2026-06-23 02:21:57","travel"
"unitagentic.com","99","com","11","2026-02-21 22:12:41","agent"
"agentgodfather.com","100","com","14","2026-08-11 07:54:00","agent"
"aicryptofinancer.com","100","com","16","2024-09-24 13:16:30","finance"
"aiiiagent.com","100","com","9","2026-03-18 10:22:23","agent"
"apartmentcleaningchicago.com","100","com","24","2025-09-23 11:55:14","cleaning"
"exploreworcestershire.com","100","com","21","2025-05-11 16:00:36","hire"
"fitnesshealthexpert.com","100","com","19","2026-01-03 13:18:16","health"
"gardenlinkup.com","100","com","12","2025-12-12 09:34:06","garden"
"managenta.com","100","com","9","2026-08-20 07:49:32","agent"
"melbournehealthinsurance.com","100","com","24","2026-07-23 02:35:45","insurance;health"
"precisionfunctionhealth.com","100","com","23","2026-04-29 14:18:56","health"
"rhizodesign.com","100","com","11","2026-06-03 18:58:57","design"
"tariffcostcalculator.com","100","com","20","2025-04-02 22:18:26","calculator"
"villainarch.com","100","com","11","2026-06-04 16:40:17","villa"
"epiccoffeeshop.com","125","com","14","2025-11-13 14:38:08","coffee"
"healthprivateinsurance.com","125","com","22","2026-02-28 05:24:53","insurance;health"
"interstellarroofing.com","125","com","19","2025-09-09 22:08:54","roofing"
"montrealhousecleaningservices.com","125","com","29","2025-12-04 11:03:13","cleaning"
"megakitchenmart.com","145","com","15","2026-08-28 21:05:12","kitchen"
"saasnextjsboilerplates.com","145","com","22","2026-08-28 17:39:51","boiler"
"onviahealth.com","150","com","11","2026-07-23 16:01:10","health"
"quindecoffee.com","150","com","12","2026-03-10 10:40:08","coffee"
"hotelsabai.com","179","com","10","2026-05-31 18:48:05","hotel"
