"domain","price","tld","sld_length","create_date"
"121travel.co.uk","900","co.uk","9","2026-06-05 14:14:17"
"abclocksmiths.co.uk","299","co.uk","13","2026-03-02 14:41:06"
"aberteifi.co.uk","1200","co.uk","9","2025-06-11 08:17:03"
"accessabilities.co.uk","3000","co.uk","15","2026-01-08 03:52:48"
"acegymnastics.co.uk","249","co.uk","13","2026-03-02 14:52:32"
"acehandymanservices.co.uk","299","co.uk","19","2026-03-02 14:43:01"
"adamandeveskincare.co.uk","297","co.uk","18","2026-04-16 19:30:07"
"adaptiveiq.co.uk","399","co.uk","10","2023-11-20 07:39:05"
"adpeopleconsultancy.co.uk","8000","co.uk","19","2022-06-21 16:32:42"
"adserving.co.uk","3699","co.uk","9","2025-09-12 18:22:54"
"advantageone.co.uk","2000","co.uk","12","2025-04-14 13:01:33"
"agileman.co.uk","5000","co.uk","8","2025-09-22 16:11:01"
"aiconsultnow.co.uk","200","co.uk","12","2025-01-13 11:44:13"
"aiid.co.uk","2350","co.uk","4","2026-03-17 23:30:37"
"airfieldmaps.co.uk","499","co.uk","12","2025-10-16 15:35:43"
"airfinity.co.uk","10000","co.uk","9","2024-12-30 00:27:29"
"airportparkingexpress.co.uk","250","co.uk","21","2026-03-06 09:03:03"
"aiwe.co.uk","599","co.uk","4","2025-09-10 13:49:22"
"ajee.co.uk","2499","co.uk","4","2025-08-31 21:36:52"
"akonasolutions.co.uk","10500","co.uk","14","2025-03-04 21:46:16"
"alanclarke.co.uk","299","co.uk","10","2026-03-02 15:32:52"
"aleh.co.uk","1299","co.uk","4","2025-05-25 15:24:29"
"alerostudios.co.uk","50","co.uk","12","2026-06-16 06:29:54"
"alii.co.uk","2999","co.uk","4","2026-06-07 18:07:46"
"allroundfitness.co.uk","297","co.uk","15","2026-04-16 18:58:55"
"allsaintpizza.co.uk","5000","co.uk","13","2021-11-19 18:14:15"
"allthingsfootie.co.uk","5288","co.uk","15","2026-05-17 22:46:30"
"alotto.co.uk","50000","co.uk","6","2022-06-13 13:13:27"
"altcloud.co.uk","2000","co.uk","8","2025-10-31 16:35:36"
"alteregocraft.co.uk","370","co.uk","13","2026-08-08 23:32:24"
"alternativeulster.co.uk","499","co.uk","17","2025-03-14 14:28:12"
"anglocharter.co.uk","40","co.uk","12","2026-04-21 20:16:44"
"applieddata.co.uk","5550","co.uk","11","2026-08-13 13:49:16"
"asbestosgarageroofremovalreplacement.co.uk","15000","co.uk","36","2024-12-13 21:47:29"
"asvr.co.uk","499","co.uk","4","2025-03-14 14:49:20"
"attractionbooker.co.uk","99","co.uk","16","2025-04-05 06:08:01"
"audio-journal.co.uk","200","co.uk","13","2021-04-23 07:08:41"
"autoverro.co.uk","395","co.uk","9","2026-02-13 17:19:05"
"aviasales.co.uk","5888","co.uk","9","2024-11-14 11:37:13"
"awardgroup.co.uk","1550","co.uk","10","2026-01-24 17:35:01"
"babyexperiences.co.uk","499","co.uk","15","2026-03-23 14:45:51"
"babystories.co.uk","300","co.uk","11","2026-08-06 09:32:35"
"bacpcoaching.co.uk","2595","co.uk","12","2026-01-26 05:27:44"
