"domain","expiry","auto_renew","nameservers"
"8qzq.com","2027-01-07","true","ns1.afternic.com;ns2.afternic.com"
"aakn.com","2027-07-20","true","ns1.afternic.com;ns2.afternic.com"
"acoustic-enclosures.com","2027-10-11","true","ns1.afternic.com;ns2.afternic.com"
"acousticcameras.com","2028-08-09","true","ns1.afternic.com;ns2.afternic.com"
"adcentre.org","2027-07-07","true","ns1.afternic.com;ns2.afternic.com"
"adjustablewalkingstick.com","2026-11-30","true","ns1.afternic.com;ns2.afternic.com"
"adjustablewalkingsticks.com","2026-11-30","true","ns1.afternic.com;ns2.afternic.com"
"aeroplanespares.com","2026-11-05","true","ns1.afternic.com;ns2.afternic.com"
"afficheurs.com","2027-08-14","true","ns1.afternic.com;ns2.afternic.com"
"affreteur.com","2027-09-14","true","ns1.afternic.com;ns2.afternic.com"
"agenciaviaje.com","2027-08-18","true","ns1.afternic.com;ns2.afternic.com"
"agent-chassis.com","2027-06-11","true","curitiba.ns.porkbun.com;fortaleza.ns.porkbun.com;maceio.ns.porkbun.com;salvador.ns.porkbun.com"
"agent-coordinator.com","2027-05-23","true","ns1.afternic.com;ns2.afternic.com"
"agent-discovery.com","2028-04-19","true","ns1.afternic.com;ns2.afternic.com"
"agentandhuman.com","2027-09-17","true","ns1.afternic.com;ns2.afternic.com"
"agentplushuman.com","2027-08-21","true","ns1.afternic.com;ns2.afternic.com"
"aggeggi.com","2028-06-02","true","ns1.afternic.com;ns2.afternic.com"
"ai-agent-orchestration.com","2026-11-01","true","alexis.ns.cloudflare.com;leah.ns.cloudflare.com"
"ai-as-judge.com","2027-06-24","true","curitiba.ns.porkbun.com;fortaleza.ns.porkbun.com;maceio.ns.porkbun.com;salvador.ns.porkbun.com"
"ai-business-audits.com","2027-06-10","true","ns1.afternic.com;ns2.afternic.com"
"ai-debugging.com","2027-06-24","true","curitiba.ns.porkbun.com;fortaleza.ns.porkbun.com;maceio.ns.porkbun.com;salvador.ns.porkbun.com"
"ai-product-strategy.com","2027-09-21","true","ns1.afternic.com;ns2.afternic.com"
"ai-site-maintenance.com","2026-11-30","true","ns1.afternic.com;ns2.afternic.com"
"ai-web-maintenance.com","2026-11-24","true","ns1.afternic.com;ns2.afternic.com"
"ai-website-maintenance.com","2026-11-24","true","ns1.afternic.com;ns2.afternic.com"
"aiasjudge.com","2027-06-24","true","curitiba.ns.porkbun.com;fortaleza.ns.porkbun.com;maceio.ns.porkbun.com;salvador.ns.porkbun.com"
"aimakefile.com","2027-06-18","true","ns1.afternic.com;ns2.afternic.com"
"aircraft-docking.com","2028-04-07","true","ns1.afternic.com;ns2.afternic.com"
"aircraft-part.com","2026-11-05","true","ns1.afternic.com;ns2.afternic.com"
"airleakagetests.com","2027-07-11","true","ns1.afternic.com;ns2.afternic.com"
"airportcollections.com","2027-06-08","true","ns1.afternic.com;ns2.afternic.com"
"aisitemaintenance.com","2026-11-30","true","ns1.afternic.com;ns2.afternic.com"
"aiwebmaintenance.com","2026-11-24","true","ns1.afternic.com;ns2.afternic.com"
"aiwebsitemaintenance.com","2026-11-24","true","ns1.afternic.com;ns2.afternic.com"
"aktiivinen.com","2027-10-04","true","ns1.afternic.com;ns2.afternic.com"
"al-jebr.com","2027-09-01","true","ns1.afternic.com;ns2.afternic.com"
"allesreiniger.com","2027-06-07","true","ns1.afternic.com;ns2.afternic.com"
"altergasthof.com","2027-06-08","true","ns1.afternic.com;ns2.afternic.com"
"aluminium-door.com","2028-03-13","true","ns1.afternic.com;ns2.afternic.com"
"aluminium-gates.com","2027-06-24","true","ns1.afternic.com;ns2.afternic.com"
"aluminiumcanes.com","2026-11-30","true","ns1.afternic.com;ns2.afternic.com"
"aluminiumdeuren.com","2027-05-24","true","ns1.afternic.com;ns2.afternic.com"
