domain,status,bin_price_enabled,bin_price,bin_currency,min_price_enabled,min_price,min_currency
"8qzq.com","onSaleStopped","false","","","true","",""
"aadaishu.com","onSaleStopped","null","","","null","",""
"aakn.com","onSaleStopped","false","","","true","",""
"accountancysites.com","onSaleStopped","null","","","null","",""
"acousticcameras.com","onSaleStopped","false","","","true","",""
"actuariel.com","onSaleStopped","null","","","null","",""
"adcentre.org","onSaleStopped","false","","","true","",""
"adjustablewalkingstick.com","onSaleStopped","null","","","null","",""
"adjustablewalkingsticks.com","onSaleStopped","null","","","null","",""
"aeroplanespares.com","onSaleStopped","null","","","null","",""
"afficheurs.com","onSaleStopped","null","","","null","",""
"affreteur.com","onSaleStopped","null","","","null","",""
"agenciaviaje.com","onSaleStopped","null","","","null","",""
"agent-coordinator.com","onSaleStopped","false","","","true","",""
"agent-discovery.com","onSaleStopped","null","","","null","",""
"agentandhuman.com","onSaleStopped","null","","","null","",""
"agentplushuman.com","onSaleStopped","null","","","null","",""
"aggeggi.com","onSaleStopped","null","","","null","",""
"ai-agent-orchestration.com","verifying","null","","","null","",""
"ai-business-audits.com","onSaleStopped","null","","","null","",""
"ai-product-strategy.com","onSaleStopped","null","","","null","",""
"ai-site-maintenance.com","onSaleStopped","null","","","null","",""
"ai-web-maintenance.com","onSaleStopped","null","","","null","",""
"ai-website-maintenance.com","onSaleStopped","null","","","null","",""
"aimakefile.com","onSaleStopped","null","","","null","",""
"aircraft-docking.com","onSaleStopped","null","","","null","",""
"aircraft-part.com","onSaleStopped","null","","","null","",""
"airleakagetests.com","onSaleStopped","null","","","null","",""
"airportcollections.com","onSaleStopped","false","","","true","",""
"aisitemaintenance.com","onSaleStopped","null","","","null","",""
"aiwebmaintenance.com","onSaleStopped","null","","","null","",""
"aiwebsitemaintenance.com","onSaleStopped","null","","","null","",""
"aktiivinen.com","onSaleStopped","null","","","null","",""
"al-jebr.com","onSaleStopped","false","","","true","",""
"allesreiniger.com","onSaleStopped","null","","","null","",""
"alquilermarbella.com","onSaleStopped","null","","","null","",""
"altergasthof.com","onSaleStopped","null","","","null","",""
"aluminium-door.com","onSaleStopped","null","","","null","",""
"aluminium-gates.com","onSaleStopped","null","","","null","",""
"aluminiumcanes.com","onSaleStopped","null","","","null","",""
"aluminiumdeuren.com","onSaleStopped","null","","","null","",""
"aluminiumwalkingsticks.com","onSaleStopped","null","","","null","",""
"aluminumcanes.com","verifying","null","","","null","",""
"analyticscentral.com","onSaleStopped","null","","","null","",""
"anatinae.com","onSaleStopped","null","","","null","",""
"animalcleaner.com","verifying","null","","","null","",""
"anthonyappleby.com","onSaleStopped","null","","","null","",""
"antywir.com","onSaleStopped","null","","","null","",""
"apartmentsloans.com","onSaleStopped","null","","","null","",""
"apetlon.com","onSaleStopped","null","","","null","",""
"appareilsmenagers.com","onSaleStopped","null","","","null","",""
"applejuicers.com","onSaleStopped","null","","","null","",""
"aprj.com","onSaleStopped","null","","","null","",""
"aproximar.com","onSaleStopped","null","","","null","",""
"articulas.com","verifying","null","","","null","",""
"artisan-cheese.com","onSaleStopped","null","","","null","",""
"artisan-cheeses.com","onSaleStopped","null","","","null","",""
"asegurandovida.com","onSaleStopped","null","","","null","",""
"athomeworkout.com","onSaleStopped","null","","","null","",""
"auberginen.com","onSaleStopped","false","","","true","",""
"autoinsurancelead.com","onSaleStopped","null","","","null","",""
"automate-website.com","onSaleStopped","null","","","null","",""
"automatedcleaning.com","onSaleStopped","null","","","null","",""
"automatic-website.com","onSaleStopped","null","","","null","",""
"automotive-lighting.com","onSaleStopped","null","","","null","",""
"autopilotas.com","onSaleStopped","null","","","null","",""
"autoverkehr.com","onSaleStopped","null","","","null","",""
"averyvet.com","onSaleStopped","null","","","null","",""
"badrumsmatta.com","onSaleStopped","null","","","null","",""
"badskor.com","onSaleStopped","null","","","null","",""
"bakkertjes.com","onSaleStopped","null","","","null","",""
"bancaras.com","onSaleStopped","null","","","null","",""
"banksavingsrates.com","onSaleStopped","false","","","true","",""
"bankssavingsrates.com","onSaleStopped","false","","","true","",""
"banneradscreator.com","onSaleStopped","null","","","null","",""
"barriogotico.com","onSaleStopped","null","","","null","",""
"barwagen.com","onSaleStopped","null","","","null","",""
"beadblasters.com","onSaleStopped","null","","","null","",""
"beekar.com","onSaleStopped","null","","","null","",""
"beerspoilage.com","onSaleStopped","null","","","null","",""
"bicycleholders.com","onSaleStopped","null","","","null","",""
"bienenhaltung.com","onSaleStopped","null","","","null","",""
"bigotime.com","onSaleStopped","null","","","null","",""
"bikecables.com","onSaleStopped","null","","","null","",""
"bin-lorries.com","onSaleStopped","null","","","null","",""
"binlorries.com","onSaleStopped","null","","","null","",""
"biphene.com","onSaleStopped","false","","","true","",""
"bleusaphir.com","onSaleStopped","null","","","null","",""
"bleute.com","onSaleStopped","null","","","null","",""
"boiler-installation.com","onSaleStopped","null","","","null","",""
"boiler-part.com","onSaleStopped","null","","","null","",""
"boiler-spare.com","onSaleStopped","null","","","null","",""
"boiler-spares.com","onSaleStopped","null","","","null","",""
"boilerpart.com","onSaleStopped","null","","","null","",""
"book-air-taxi.com","onSaleStopped","null","","","null","",""
"boxing-tickets.com","onSaleStopped","null","","","null","",""
"boxingonline.com","onSaleStopped","null","","","null","",""
"boysholidays.com","onSaleStopped","false","","","true","",""
"brewery-equipment.com","onSaleStopped","null","","","null","",""
"bridging-loan.net","onSaleStopped","false","","","true","",""
"bulldozerlease.com","onSaleStopped","null","","","null","",""
"businesscloudsoftware.com","onSaleStopped","null","","","null","",""
"businesscredithelp.com","onSaleStopped","null","","","null","",""
"businessventurecapital.com","onSaleStopped","null","","","null","",""
"buylodges.com","onSaleStopped","null","","","null","",""
"buysportskit.com","onSaleStopped","null","","","null","",""
"buyvehicleinsurance.com","onSaleStopped","null","","","null","",""
"cable-railing.com","onSaleStopped","null","","","null","",""
"cablecontainment.com","onSaleStopped","null","","","null","",""
"calendarsplanners.com","onSaleStopped","null","","","null","",""
"camperhuur.com","onSaleStopped","null","","","null","",""
"campingandcaravanpark.com","onSaleStopped","null","","","null","",""
"capitalandinterest.com","onSaleStopped","false","","","true","",""
"capitalrepaymentmortgage.com","onSaleStopped","false","","","true","",""
"capitalrepaymentmortgages.com","onSaleStopped","false","","","true","",""
"car-phone-mount.com","onSaleStopped","null","","","null","",""
"caravan-sites.com","onSaleStopped","false","","","true","",""
"caravanparkhomes.com","onSaleStopped","null","","","null","",""
"carbootfair.com","onSaleStopped","null","","","null","",""
"carhireireland.com","verifying","null","","","null","",""
"ccdimaging.com","onSaleStopped","null","","","null","",""
"ccj-loan.com","onSaleStopped","false","","","true","",""
"cebolleta.com","onSaleStopped","null","","","null","",""
"cellobows.com","onSaleStopped","null","","","null","",""
"cementcentre.com","onSaleStopped","null","","","null","",""
"ceramic-floor-tiles.com","onSaleStopped","null","","","null","",""
