n,endpoint,http,seconds
1,position,200,10.442991
1,defend,200,10.571999
2,position,200,11.600238
2,defend,200,15.171605
3,position,200,8.171864
3,defend,200,9.901869
4,position,200,11.055480
4,defend,200,11.279888
5,position,200,9.175018
5,defend,200,19.137796
1,position,200,11.375018
1,defend,200,23.356348
2,position,200,10.303040
2,defend,200,12.271662
3,position,200,8.553730
3,defend,200,13.379838
4,position,200,9.033528
4,defend,200,11.043388
5,position,200,9.289705
5,defend,200,18.897080
6,position,200,11.457183
6,defend,200,14.002099
7,position,200,12.930064
7,defend,503,25.643300
8,position,200,11.902201
8,defend,200,13.750797
DONE
