Domain Name,Selling Option,For Sale,Price,Minimum Price,Currency,Action Type
8qzq.com,MAKE_OFFER,yes,,,,
aadaishu.com,MAKE_OFFER,yes,,,,
aakn.com,MAKE_OFFER,yes,,,,
accountancysites.com,MAKE_OFFER,yes,,,,
acoustic-enclosures.com,MAKE_OFFER,yes,,,,
acousticcameras.com,MAKE_OFFER,yes,,,,
actuariel.com,MAKE_OFFER,yes,,,,
adcentre.org,MAKE_OFFER,yes,,,,
adjustablewalkingstick.com,MAKE_OFFER,yes,,,,
adjustablewalkingsticks.com,MAKE_OFFER,yes,,,,
aeroplanespares.com,MAKE_OFFER,yes,,,,
afficheurs.com,MAKE_OFFER,yes,,,,
affreteur.com,MAKE_OFFER,yes,,,,
agenciaviaje.com,MAKE_OFFER,yes,,,,
agent-chassis.com,MAKE_OFFER,yes,,,,
agent-coordinator.com,MAKE_OFFER,yes,,,,
agent-discovery.com,MAKE_OFFER,yes,,,,
agentandhuman.com,MAKE_OFFER,yes,,,,
agentplushuman.com,MAKE_OFFER,yes,,,,
aggeggi.com,MAKE_OFFER,yes,,,,
agricultureseeds.com,MAKE_OFFER,yes,,,,
ai-as-judge.com,MAKE_OFFER,yes,,,,
ai-business-audit.com,MAKE_OFFER,yes,,,,
ai-business-audits.com,MAKE_OFFER,yes,,,,
ai-debugging.com,MAKE_OFFER,yes,,,,
ai-product-strategy.com,MAKE_OFFER,yes,,,,
ai-prototyping.com,MAKE_OFFER,yes,,,,
ai-site-maintenance.com,MAKE_OFFER,yes,,,,
ai-web-maintenance.com,MAKE_OFFER,yes,,,,
ai-website-maintenance.com,MAKE_OFFER,yes,,,,
aiasjudge.com,MAKE_OFFER,yes,,,,
aicorporateaudit.com,MAKE_OFFER,yes,,,,
aicorporateaudits.com,MAKE_OFFER,yes,,,,
aimakefile.com,MAKE_OFFER,yes,,,,
air-frier.com,MAKE_OFFER,yes,,,,
air-friers.com,MAKE_OFFER,yes,,,,
aircraft-docking.com,MAKE_OFFER,yes,,,,
aircraft-part.com,MAKE_OFFER,yes,,,,
airleakagetests.com,MAKE_OFFER,yes,,,,
airportcollections.com,MAKE_OFFER,yes,,,,
aisitemaintenance.com,MAKE_OFFER,yes,,,,
aiwebmaintenance.com,MAKE_OFFER,yes,,,,
aiwebsitemaintenance.com,MAKE_OFFER,yes,,,,
aktiivinen.com,MAKE_OFFER,yes,,,,
al-jebr.com,MAKE_OFFER,yes,,,,
all-in-ones.com,MAKE_OFFER,yes,,,,
allesreiniger.com,MAKE_OFFER,yes,,,,
alquilados.com,MAKE_OFFER,yes,,,,
alquilermarbella.com,MAKE_OFFER,yes,,,,
altergasthof.com,MAKE_OFFER,yes,,,,
aluminium-door.com,MAKE_OFFER,yes,,,,
aluminium-gates.com,MAKE_OFFER,yes,,,,
aluminium-window.com,MAKE_OFFER,yes,,,,
aluminiumcanes.com,MAKE_OFFER,yes,,,,
aluminiumdeuren.com,MAKE_OFFER,yes,,,,
aluminiumpergolas.com,MAKE_OFFER,yes,,,,
aluminiumwalkingsticks.com,MAKE_OFFER,yes,,,,
aluminum-boats.com,MAKE_OFFER,yes,,,,
aluminum-extrusion.com,MAKE_OFFER,yes,,,,
aluminum-windows.com,MAKE_OFFER,yes,,,,
aluminumcanes.com,MAKE_OFFER,yes,,,,
