domain,source_file,ns_class
00.org.uk,nominet_domains_2026-09-03.csv,none
2v.uk,nominet_domains_2026-09-03.csv,none
2w.uk,nominet_domains_2026-09-03.csv,none
3dartists.co.uk,nominet_domains_2026-09-03.csv,none
3dhomesales.co.uk,nominet_domains_2026-09-03.csv,none
3dviewers.co.uk,nominet_domains_2026-09-03.csv,none
4l.uk,nominet_domains_2026-09-03.csv,none
5s.uk,nominet_domains_2026-09-03.csv,none
5un.co.uk,nominet_domains_2026-09-03.csv,none
8qzq.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
aadaishu.com,dynadot_domains_2026-09-02.csv,afternic_aftermarket
aakn.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
abtesting.uk,nominet_domains_2026-09-03.csv,none
accountancysites.com,dynadot_domains_2026-09-02.csv,afternic_aftermarket
acoustic-enclosures.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
acoustic-guitar.co.uk,nominet_domains_2026-09-03.csv,none
acousticcameras.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
activitytracker.uk,nominet_domains_2026-09-03.csv,none
actuariel.com,dynadot_domains_2026-09-02.csv,afternic_aftermarket
adapter.uk,nominet_domains_2026-09-03.csv,none
adapting.uk,nominet_domains_2026-09-03.csv,none
adcentre.org,porkbun_domains_2026-09-02.csv,afternic_aftermarket
adcopywriting.co.uk,nominet_domains_2026-09-03.csv,none
adjustablewalkingstick.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
adjustablewalkingsticks.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
adrank.uk,nominet_domains_2026-09-03.csv,none
adultchristmas.co.uk,nominet_domains_2026-09-03.csv,none
adultchristmaspresents.co.uk,nominet_domains_2026-09-03.csv,none
adultxmas.co.uk,nominet_domains_2026-09-03.csv,none
adversecreditmortgage.uk,nominet_domains_2026-09-03.csv,none
adversemortgage.uk,nominet_domains_2026-09-03.csv,none
advertdesign.co.uk,nominet_domains_2026-09-03.csv,none
advertisementdesign.co.uk,nominet_domains_2026-09-03.csv,none
advertisementdesign.uk,nominet_domains_2026-09-03.csv,none
advertisingagencies.co.uk,nominet_domains_2026-09-03.csv,none
advertisingdesign.uk,nominet_domains_2026-09-03.csv,none
aerialdronesurveys.co.uk,nominet_domains_2026-09-03.csv,none
aeroplanespares.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
afficheurs.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
affordablehome.uk,nominet_domains_2026-09-03.csv,none
affreteur.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
agenciaviaje.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
agent-chassis.com,porkbun_domains_2026-09-02.csv,other
agent-coordinator.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
agent-discovery.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
agentandhuman.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
agentchoice.co.uk,nominet_domains_2026-09-03.csv,none
agentchoice.uk,nominet_domains_2026-09-03.csv,none
agentcoordinator.co.uk,nominet_domains_2026-09-03.csv,none
agentcoordinator.uk,nominet_domains_2026-09-03.csv,none
agentorchestrator.co.uk,nominet_domains_2026-09-03.csv,none
agentorchestrator.uk,nominet_domains_2026-09-03.csv,none
agentplushuman.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
agenttower.co.uk,nominet_domains_2026-09-03.csv,none
agenttower.uk,nominet_domains_2026-09-03.csv,none
agentz.uk,nominet_domains_2026-09-03.csv,none
aggeggi.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
agricultural-machinery.uk,nominet_domains_2026-09-03.csv,none
agricultureseeds.com,dynadot_domains_2026-09-02.csv,afternic_aftermarket
ai-as-judge.com,porkbun_domains_2026-09-02.csv,other
ai-audit.uk,nominet_domains_2026-09-03.csv,none
ai-audits.uk,nominet_domains_2026-09-03.csv,none
ai-business-audit.com,spaceship_domains_2026-09-02.csv,afternic_aftermarket
ai-business-audits.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
ai-debugging.com,porkbun_domains_2026-09-02.csv,other
ai-product-strategy.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
ai-prototyping.com,spaceship_domains_2026-09-02.csv,afternic_aftermarket
ai-site-maintenance.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
ai-web-design.co.uk,nominet_domains_2026-09-03.csv,none
ai-web-design.uk,nominet_domains_2026-09-03.csv,none
ai-web-maintenance.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
ai-website-design.co.uk,nominet_domains_2026-09-03.csv,none
ai-website-design.uk,nominet_domains_2026-09-03.csv,none
ai-website-maintenance.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
aiartgallery.uk,nominet_domains_2026-09-03.csv,none
aiasjudge.com,porkbun_domains_2026-09-02.csv,other
aiaudit.uk,nominet_domains_2026-09-03.csv,none
aiauditing.co.uk,nominet_domains_2026-09-03.csv,none
aiauditing.uk,nominet_domains_2026-09-03.csv,none
aicorporateaudit.com,spaceship_domains_2026-09-02.csv,afternic_aftermarket
aicorporateaudits.com,spaceship_domains_2026-09-02.csv,afternic_aftermarket
aigraphics.uk,nominet_domains_2026-09-03.csv,none
aimaintenance.uk,nominet_domains_2026-09-03.csv,none
aimakefile.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
aimate.uk,nominet_domains_2026-09-03.csv,none
aiproductstrategy.co.uk,nominet_domains_2026-09-03.csv,none
aiproductstrategy.uk,nominet_domains_2026-09-03.csv,none
aiq.uk,nominet_domains_2026-09-03.csv,none
air-frier.com,spaceship_domains_2026-09-02.csv,afternic_aftermarket
air-friers.com,spaceship_domains_2026-09-02.csv,afternic_aftermarket
aircraft-docking.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
aircraft-part.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
airleakagetests.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
airobot.uk,nominet_domains_2026-09-03.csv,none
airportcollections.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
aisitemaintenance.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
aistudio.uk,nominet_domains_2026-09-03.csv,none
aiteammate.co.uk,nominet_domains_2026-09-03.csv,none
aiteammate.uk,nominet_domains_2026-09-03.csv,none
aitwin.co.uk,nominet_domains_2026-09-03.csv,none
aiwebmaintenance.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
aiwebsitemaintenance.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
aiworkmate.co.uk,nominet_domains_2026-09-03.csv,none
aiworkmate.uk,nominet_domains_2026-09-03.csv,none
akim.uk,nominet_domains_2026-09-03.csv,none
aktiivinen.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
al-jebr.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
all-in-ones.com,spaceship_domains_2026-09-02.csv,afternic_aftermarket
allesreiniger.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
alquilados.com,dynadot_domains_2026-09-02.csv,afternic_aftermarket
alquilermarbella.com,dynadot_domains_2026-09-02.csv,afternic_aftermarket
altergasthof.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
alternativeenergy.co.uk,nominet_domains_2026-09-03.csv,none
alternativepower.co.uk,nominet_domains_2026-09-03.csv,none
alternativepresents.co.uk,nominet_domains_2026-09-03.csv,none
alternativetravel.co.uk,nominet_domains_2026-09-03.csv,none
